"Date","ADJRESSL"
1918-01-01,1.331
1918-02-01,1.231
1918-03-01,1.308
1918-04-01,1.316
1918-05-01,1.288
1918-06-01,1.269
1918-07-01,1.179
1918-08-01,1.161
1918-09-01,1.281
1918-10-01,1.359
1918-11-01,1.335
1918-12-01,1.377
1919-01-01,1.343
1919-02-01,1.303
1919-03-01,1.388
1919-04-01,1.387
1919-05-01,1.428
1919-06-01,1.429
1919-07-01,1.412
1919-08-01,1.43
1919-09-01,1.503
1919-10-01,1.524
1919-11-01,1.508
1919-12-01,1.498
1920-01-01,1.463
1920-02-01,1.427
1920-03-01,1.538
1920-04-01,1.487
1920-05-01,1.525
1920-06-01,1.509
1920-07-01,1.504
1920-08-01,1.461
1920-09-01,1.525
1920-10-01,1.513
1920-11-01,1.503
1920-12-01,1.491
1921-01-01,1.417
1921-02-01,1.361
1921-03-01,1.41
1921-04-01,1.348
1921-05-01,1.359
1921-06-01,1.343
1921-07-01,1.324
1921-08-01,1.29
1921-09-01,1.328
1921-10-01,1.353
1921-11-01,1.319
1921-12-01,1.335
1922-01-01,1.277
1922-02-01,1.256
1922-03-01,1.338
1922-04-01,1.348
1922-05-01,1.388
1922-06-01,1.383
1922-07-01,1.408
1922-08-01,1.369
1922-09-01,1.425
1922-10-01,1.452
1922-11-01,1.414
1922-12-01,1.467
1923-01-01,1.408
1923-02-01,1.411
1923-03-01,1.449
1923-04-01,1.432
1923-05-01,1.434
1923-06-01,1.413
1923-07-01,1.444
1923-08-01,1.418
1923-09-01,1.483
1923-10-01,1.457
1923-11-01,1.441
1923-12-01,1.514
1924-01-01,1.401
1924-02-01,1.414
1924-03-01,1.496
1924-04-01,1.505
1924-05-01,1.504
1924-06-01,1.561
1924-07-01,1.596
1924-08-01,1.6
1924-09-01,1.701
1924-10-01,1.652
1924-11-01,1.672
1924-12-01,1.732
1925-01-01,1.536
1925-02-01,1.574
1925-03-01,1.626
1925-04-01,1.624
1925-05-01,1.625
1925-06-01,1.636
1925-07-01,1.638
1925-08-01,1.651
1925-09-01,1.724
1925-10-01,1.714
1925-11-01,1.696
1925-12-01,1.74
1926-01-01,1.552
1926-02-01,1.609
1926-03-01,1.689
1926-04-01,1.66
1926-05-01,1.693
1926-06-01,1.703
1926-07-01,1.707
1926-08-01,1.693
1926-09-01,1.745
1926-10-01,1.711
1926-11-01,1.697
1926-12-01,1.735
1927-01-01,1.542
1927-02-01,1.604
1927-03-01,1.675
1927-04-01,1.704
1927-05-01,1.72
1927-06-01,1.743
1927-07-01,1.786
1927-08-01,1.748
1927-09-01,1.787
1927-10-01,1.773
1927-11-01,1.801
1927-12-01,1.864
1928-01-01,1.668
1928-02-01,1.73
1928-03-01,1.747
1928-04-01,1.788
1928-05-01,1.78
1928-06-01,1.736
1928-07-01,1.741
1928-08-01,1.673
1928-09-01,1.77
1928-10-01,1.767
1928-11-01,1.709
1928-12-01,1.846
1929-01-01,1.622
1929-02-01,1.681
1929-03-01,1.71
1929-04-01,1.713
1929-05-01,1.695
1929-06-01,1.685
1929-07-01,1.748
1929-08-01,1.707
1929-09-01,1.819
1929-10-01,1.779
1929-11-01,1.829
1929-12-01,1.849
1930-01-01,1.594
1930-02-01,1.63
1930-03-01,1.706
1930-04-01,1.766
1930-05-01,1.729
1930-06-01,1.75
1930-07-01,1.758
1930-08-01,1.693
1930-09-01,1.772
1930-10-01,1.746
1930-11-01,1.694
1930-12-01,1.789
1931-01-01,1.628
1931-02-01,1.647
1931-03-01,1.683
1931-04-01,1.722
1931-05-01,1.739
1931-06-01,1.717
1931-07-01,1.72
1931-08-01,1.661
1931-09-01,1.72
1931-10-01,1.676
1931-11-01,1.599
1931-12-01,1.577
1932-01-01,1.308
1932-02-01,1.387
1932-03-01,1.419
1932-04-01,1.449
1932-05-01,1.533
1932-06-01,1.385
1932-07-01,1.424
1932-08-01,1.471
1932-09-01,1.555
1932-10-01,1.605
1932-11-01,1.62
1932-12-01,1.698
1933-01-01,1.665
1933-02-01,1.326
1933-03-01,1.804
1933-04-01,1.58
1933-05-01,1.555
1933-06-01,1.568
1933-07-01,1.598
1933-08-01,1.65
1933-09-01,1.738
1933-10-01,1.83
1933-11-01,1.844
1933-12-01,1.913
1934-01-01,2.124
1934-02-01,2.121
1934-03-01,2.432
1934-04-01,2.569
1934-05-01,2.616
1934-06-01,2.652
1934-07-01,2.727
1934-08-01,2.787
