"Date","AMBSLREAL"
1947-01-01,156.9
1947-02-01,153.9
1947-03-01,151.3
1947-04-01,150.7
1947-05-01,151
1947-06-01,150.8
1947-07-01,150.3
1947-08-01,149.4
1947-09-01,149.1
1947-10-01,148.9
1947-11-01,147.8
1947-12-01,147.5
1948-01-01,144.2
1948-02-01,141.4
1948-03-01,141.5
1948-04-01,138.5
1948-05-01,137.3
1948-06-01,137.3
1948-07-01,136.2
1948-08-01,136.4
1948-09-01,138.3
1948-10-01,138
1948-11-01,139.1
1948-12-01,140.6
1949-01-01,138.8
1949-02-01,137.3
1949-03-01,136.9
1949-04-01,136.2
1949-05-01,136.4
1949-06-01,136.3
1949-07-01,138.8
1949-08-01,138.8
1949-09-01,139
1949-10-01,139.5
1949-11-01,139.3
1949-12-01,141.1
1950-01-01,139.5
1950-02-01,139
1950-03-01,138.9
1950-04-01,138.8
1950-05-01,138.3
1950-06-01,137.3
1950-07-01,136.2
1950-08-01,135.3
1950-09-01,135.2
1950-10-01,134.6
1950-11-01,133.8
1950-12-01,132.8
1951-01-01,130.8
1951-02-01,128.9
1951-03-01,129.5
1951-04-01,130.1
1951-05-01,129.2
1951-06-01,130.5
1951-07-01,130.9
1951-08-01,131.6
1951-09-01,131.4
1951-10-01,132.1
1951-11-01,130.9
1951-12-01,130.9
1952-01-01,132.3
1952-02-01,132.4
1952-03-01,133.4
1952-04-01,132.2
1952-05-01,132.6
1952-06-01,133
1952-07-01,132.9
1952-08-01,133
1952-09-01,134.2
1952-10-01,134.2
1952-11-01,134.8
1952-12-01,135.4
1953-01-01,135.9
1953-02-01,136.6
1953-03-01,136.3
1953-04-01,135.7
1953-05-01,136.1
1953-06-01,136.1
1953-07-01,136.6
1953-08-01,136.6
1953-09-01,136.4
1953-10-01,135.9
1953-11-01,136.5
1953-12-01,136
1954-01-01,136.8
1954-02-01,135.7
1954-03-01,135.9
1954-04-01,136.1
1954-05-01,136.1
1954-06-01,136.1
1954-07-01,136.3
1954-08-01,136.9
1954-09-01,136.5
1954-10-01,137.9
1954-11-01,138.2
1954-12-01,137.6
1955-01-01,137.8
1955-02-01,137.9
1955-03-01,137.7
1955-04-01,138.3
1955-05-01,138.5
1955-06-01,138.3
1955-07-01,138.5
1955-08-01,138.9
1955-09-01,138
1955-10-01,138.6
1955-11-01,138.3
1955-12-01,138.4
1956-01-01,139.1
1956-02-01,138.9
1956-03-01,139.4
1956-04-01,138.9
1956-05-01,138.4
1956-06-01,138
1956-07-01,137.2
1956-08-01,137
1956-09-01,137.4
1956-10-01,136.3
1956-11-01,137.1
1956-12-01,136.8
1957-01-01,136.5
1957-02-01,135.7
1957-03-01,135.5
1957-04-01,135.5
1957-05-01,134.7
1957-06-01,134.4
1957-07-01,134.3
1957-08-01,133.5
1957-09-01,133.5
1957-10-01,133.4
1957-11-01,132.8
1957-12-01,132.9
1958-01-01,131.9
1958-02-01,132
1958-03-01,131.9
1958-04-01,131.9
1958-05-01,132.6
1958-06-01,133.4
1958-07-01,133.3
1958-08-01,133.5
1958-09-01,133.2
1958-10-01,133.3
1958-11-01,133.4
1958-12-01,133.6
1959-01-01,133.6
1959-02-01,134.1
1959-03-01,134.3
1959-04-01,134.6
1959-05-01,134.6
1959-06-01,134.2
1959-07-01,134.3
1959-08-01,134.4
1959-09-01,133.9
1959-10-01,133.2
1959-11-01,133
1959-12-01,132.8
1960-01-01,133.3
1960-02-01,132.8
1960-03-01,132.7
1960-04-01,132.2
1960-05-01,132.2
1960-06-01,132.1
1960-07-01,132.7
1960-08-01,132.6
1960-09-01,133.1
1960-10-01,132.8
1960-11-01,133
1960-12-01,132.7
1961-01-01,132.9
1961-02-01,133.2
1961-03-01,133.1
1961-04-01,133.2
1961-05-01,133.1
1961-06-01,133.6
1961-07-01,133.3
1961-08-01,134
1961-09-01,134.3
1961-10-01,135.1
1961-11-01,135.6
1961-12-01,135.8
1962-01-01,136.2
1962-02-01,135.9
1962-03-01,136.2
1962-04-01,136.7
1962-05-01,137
1962-06-01,137.4
1962-07-01,137.7
1962-08-01,137.8
1962-09-01,137.2
1962-10-01,138.1
1962-11-01,138.6
1962-12-01,139.2
1963-01-01,139.2
1963-02-01,139.7
1963-03-01,140.2
1963-04-01,140.9
1963-05-01,141.5
1963-06-01,141.5
1963-07-01,142.1
1963-08-01,142.1
1963-09-01,142.9
1963-10-01,143.2
1963-11-01,143.8
1963-12-01,144.8
1964-01-01,144.6
1964-02-01,145
1964-03-01,145.8
1964-04-01,146.3
1964-05-01,146.8
1964-06-01,147.7
1964-07-01,148
1964-08-01,148.8
1964-09-01,149.7
1964-10-01,150
1964-11-01,150.3
1964-12-01,150.5
1965-01-01,150.9
1965-02-01,151.9
1965-03-01,152.3
1965-04-01,152.5
1965-05-01,152.4
1965-06-01,152.6
1965-07-01,153.5
1965-08-01,154.4
1965-09-01,154.7
1965-10-01,156
1965-11-01,156.1
1965-12-01,156.8
1966-01-01,157.2
1966-02-01,157.1
1966-03-01,157.2
1966-04-01,157.8
1966-05-01,158
1966-06-01,158.2
1966-07-01,159
1966-08-01,157.8
1966-09-01,158.1
1966-10-01,157.7
1966-11-01,158.1
1966-12-01,158.5
1967-01-01,159.5
1967-02-01,159.9
1967-03-01,161.4
1967-04-01,160.9
1967-05-01,161.6
1967-06-01,161.6
1967-07-01,161.9
1967-08-01,162
1967-09-01,162.7
1967-10-01,163.3
1967-11-01,163
1967-12-01,163.4
1968-01-01,163.7
1968-02-01,164
1968-03-01,164.7
1968-04-01,164.8
1968-05-01,164.9
1968-06-01,165.2
1968-07-01,165.1
1968-08-01,165.8
1968-09-01,166.2
1968-10-01,166.3
1968-11-01,166.9
1968-12-01,166.9
1969-01-01,167.4
1969-02-01,167.5
1969-03-01,166.3
1969-04-01,165.4
1969-05-01,166.2
1969-06-01,165.7
1969-07-01,164.4
1969-08-01,165.3
1969-09-01,164.8
1969-10-01,164.5
1969-11-01,165
1969-12-01,164.5
1970-01-01,164.2
1970-02-01,163.8
1970-03-01,163.3
1970-04-01,163.8
1970-05-01,164.4
1970-06-01,164.2
1970-07-01,164.7
1970-08-01,165.5
1970-09-01,166.2
1970-10-01,166.2
1970-11-01,166
1970-12-01,166.4
1971-01-01,167
1971-02-01,168.6
1971-03-01,169.1
1971-04-01,169.4
1971-05-01,170.2
1971-06-01,170.3
1971-07-01,171.3
1971-08-01,171.7
1971-09-01,172.5
1971-10-01,172.3
1971-11-01,172.9
1971-12-01,172.8
1972-01-01,173.7
1972-02-01,174.7
1972-03-01,175.2
1972-04-01,175.8
1972-05-01,176.3
1972-06-01,177.2
1972-07-01,177.7
1972-08-01,178.6
1972-09-01,178.5
1972-10-01,179.9
1972-11-01,180.3
1972-12-01,181.3
1973-01-01,182.5
1973-02-01,182
1973-03-01,182.2
1973-04-01,182.2
1973-05-01,182.1
1973-06-01,181.9
1973-07-01,184.3
1973-08-01,181.3
1973-09-01,181.5
1973-10-01,181.3
1973-11-01,180.7
1973-12-01,180.3
1974-01-01,180.1
1974-02-01,179.7
1974-03-01,178.6
1974-04-01,179.8
1974-05-01,179.2
1974-06-01,178.9
1974-07-01,179.2
1974-08-01,177.7
1974-09-01,176.6
1974-10-01,176.4
1974-11-01,175.9
1974-12-01,176.2
1975-01-01,174.1
1975-02-01,175
1975-03-01,175.2
1975-04-01,175
1975-05-01,174.6
1975-06-01,176.7
1975-07-01,174.6
1975-08-01,174.7
1975-09-01,174.4
1975-10-01,173.6
1975-11-01,173.9
1975-12-01,174
1976-01-01,172.6
1976-02-01,174.2
1976-03-01,175.5
1976-04-01,176.2
1976-05-01,176.2
1976-06-01,176.4
1976-07-01,175.6
1976-08-01,176.2
1976-09-01,175.9
1976-10-01,175.8
1976-11-01,176.7
1976-12-01,176.3
1977-01-01,176.9
1977-02-01,175.8
1977-03-01,176.4
1977-04-01,176.5
1977-05-01,176.7
1977-06-01,176.9
1977-07-01,178
1977-08-01,178.3
1977-09-01,178.5
1977-10-01,179.2
1977-11-01,179
1977-12-01,179.9
1978-01-01,180.1
1978-02-01,181
1978-03-01,180.6
1978-04-01,180.5
1978-05-01,180.6
1978-06-01,180.7
1978-07-01,180.7
1978-08-01,180.1
1978-09-01,179.9
1978-10-01,179.9
1978-11-01,179.8
1978-12-01,179.4
1979-01-01,178.9
1979-02-01,177.5
1979-03-01,176.7
1979-04-01,176
1979-05-01,174.8
1979-06-01,174.1
1979-07-01,173.6
1979-08-01,173.3
1979-09-01,173
1979-10-01,172.9
1979-11-01,171.6
1979-12-01,170.8
1980-01-01,169.4
1980-02-01,168.5
1980-03-01,167.4
1980-04-01,165.9
1980-05-01,164.9
1980-06-01,164.5
1980-07-01,165.7
1980-08-01,166.1
1980-09-01,166.1
1980-10-01,165.9
1980-11-01,165.6
1980-12-01,163.8
1981-01-01,161.6
1981-02-01,161.8
1981-03-01,161.7
1981-04-01,162.3
1981-05-01,161.9
1981-06-01,160.6
1981-07-01,160.1
1981-08-01,159.5
1981-09-01,158.5
1981-10-01,158.1
1981-11-01,158.6
1981-12-01,159.4
1982-01-01,159.8
1982-02-01,160.4
1982-03-01,160.6
1982-04-01,161.5
1982-05-01,161.2
1982-06-01,160.3
1982-07-01,160.2
1982-08-01,161.1
1982-09-01,162.6
1982-10-01,163.6
1982-11-01,165.1
1982-12-01,166.9
1983-01-01,167.1
1983-02-01,169.4
1983-03-01,171.1
1983-04-01,171.7
