"Date","BOGAMBSL"
1959-01-01,40.425
1959-02-01,40.605
1959-03-01,40.615
1959-04-01,40.694
1959-05-01,40.731
1959-06-01,40.75
1959-07-01,40.896
1959-08-01,40.992
1959-09-01,41.034
1959-10-01,40.903
1959-11-01,40.822
1959-12-01,40.88
1960-01-01,40.794
1960-02-01,40.666
1960-03-01,40.616
1960-04-01,40.621
1960-05-01,40.639
1960-06-01,40.689
1960-07-01,40.794
1960-08-01,40.895
1960-09-01,41.04
1960-10-01,41.097
1960-11-01,41.13
1960-12-01,40.977
1961-01-01,40.96
1961-02-01,40.945
1961-03-01,40.851
1961-04-01,40.823
1961-05-01,40.791
1961-06-01,40.902
1961-07-01,40.98
1961-08-01,41.227
1961-09-01,41.417
1961-10-01,41.651
1961-11-01,41.782
1961-12-01,41.853
1962-01-01,41.864
1962-02-01,41.81
1962-03-01,41.923
1962-04-01,42.096
1962-05-01,42.194
1962-06-01,42.259
1962-07-01,42.398
1962-08-01,42.491
1962-09-01,42.537
1962-10-01,42.7
1962-11-01,42.861
1962-12-01,42.957
1963-01-01,43.008
1963-02-01,43.155
1963-03-01,43.289
1963-04-01,43.444
1963-05-01,43.586
1963-06-01,43.78
1963-07-01,44.058
1963-08-01,44.149
1963-09-01,44.339
1963-10-01,44.444
1963-11-01,44.744
1963-12-01,45.003
1964-01-01,45.042
1964-02-01,45.112
1964-03-01,45.371
1964-04-01,45.47
1964-05-01,45.651
1964-06-01,45.959
1964-07-01,46.143
1964-08-01,46.41
1964-09-01,46.714
1964-10-01,46.823
1964-11-01,47.106
1964-12-01,47.161
1965-01-01,47.281
1965-02-01,47.5
1965-03-01,47.584
1965-04-01,47.721
1965-05-01,47.799
1965-06-01,48.061
1965-07-01,48.281
1965-08-01,48.453
1965-09-01,48.712
1965-10-01,49.029
1965-11-01,49.234
1965-12-01,49.62
1966-01-01,49.85
1966-02-01,50.054
1966-03-01,50.171
1966-04-01,50.439
1966-05-01,50.591
1966-06-01,50.754
1966-07-01,51.019
1966-08-01,50.989
1966-09-01,51.154
1966-10-01,51.2
1966-11-01,51.422
1966-12-01,51.565
1967-01-01,51.876
1967-02-01,52.173
1967-03-01,52.494
1967-04-01,52.517
1967-05-01,52.682
1967-06-01,52.867
1967-07-01,53.165
1967-08-01,53.347
1967-09-01,53.67
1967-10-01,54.044
1967-11-01,54.241
1967-12-01,54.579
1968-01-01,54.892
1968-02-01,55.171
1968-03-01,55.436
1968-04-01,55.692
1968-05-01,55.872
1968-06-01,56.323
1968-07-01,56.626
1968-08-01,56.976
1968-09-01,57.16
1968-10-01,57.477
1968-11-01,57.887
1968-12-01,58.357
1969-01-01,58.597
1969-02-01,58.917
1969-03-01,58.999
1969-04-01,59.062
1969-05-01,59.552
1969-06-01,59.794
1969-07-01,59.713
1969-08-01,60.137
1969-09-01,60.357
1969-10-01,60.633
1969-11-01,61.229
1969-12-01,61.569
1970-01-01,61.792
1970-02-01,61.931
1970-03-01,62.205
1970-04-01,62.653
1970-05-01,62.977
1970-06-01,63.189
1970-07-01,63.444
1970-08-01,63.725
1970-09-01,64.087
1970-10-01,64.303
1970-11-01,64.574
1970-12-01,65.013
1971-01-01,65.545
1971-02-01,66.037
1971-03-01,66.378
1971-04-01,66.731
1971-05-01,67.315
1971-06-01,67.678
1971-07-01,68.155
1971-08-01,68.413
1971-09-01,68.751
1971-10-01,68.603
1971-11-01,68.894
1971-12-01,69.108
1972-01-01,69.853
1972-02-01,70.368
1972-03-01,70.82
1972-04-01,71.031
1972-05-01,71.525
1972-06-01,71.817
1972-07-01,72.173
1972-08-01,72.623
1972-09-01,72.984
1972-10-01,73.644
1972-11-01,74.37
1972-12-01,75.167
1973-01-01,75.925
1973-02-01,76.16
1973-03-01,76.663
1973-04-01,76.962
1973-05-01,77.393
1973-06-01,77.842
1973-07-01,78.531
1973-08-01,78.781
1973-09-01,79.316
1973-10-01,80.173
1973-11-01,80.479
1973-12-01,81.073
1974-01-01,81.85
1974-02-01,82.341
1974-03-01,82.835
1974-04-01,83.621
1974-05-01,84.432
1974-06-01,84.895
1974-07-01,85.439
1974-08-01,85.974
1974-09-01,86.377
1974-10-01,86.513
1974-11-01,87.043
1974-12-01,87.535
1975-01-01,87.756
1975-02-01,88.192
1975-03-01,88.916
1975-04-01,89.116
1975-05-01,89.61
1975-06-01,90.817
1975-07-01,91.373
1975-08-01,91.7
1975-09-01,92.119
1975-10-01,92.448
1975-11-01,93.373
1975-12-01,93.887
1976-01-01,94.281
1976-02-01,95.039
1976-03-01,95.786
1976-04-01,96.479
1976-05-01,97.251
1976-06-01,97.732
1976-07-01,98.234
1976-08-01,98.888
1976-09-01,99.446
1976-10-01,100.066
1976-11-01,100.892
1976-12-01,101.515
1977-01-01,102.237
1977-02-01,102.654
1977-03-01,103.337
1977-04-01,104.076
1977-05-01,104.63
1977-06-01,105.186
1977-07-01,106.394
1977-08-01,107.185
1977-09-01,107.923
1977-10-01,108.75
1977-11-01,109.56
1977-12-01,110.324
1978-01-01,111.449
1978-02-01,112.45
1978-03-01,112.778
1978-04-01,113.377
1978-05-01,114.418
1978-06-01,115.376
1978-07-01,116.273
1978-08-01,116.904
1978-09-01,118.112
1978-10-01,119.044
1978-11-01,119.733
1978-12-01,120.445
1979-01-01,121.272
1979-02-01,121.504
1979-03-01,122.065
1979-04-01,122.819
1979-05-01,123.487
1979-06-01,124.635
1979-07-01,125.81
1979-08-01,127.079
1979-09-01,128.309
1979-10-01,129.458
1979-11-01,130.369
1979-12-01,131.143
1980-01-01,131.998
1980-02-01,132.785
1980-03-01,133.607
1980-04-01,134.74
1980-05-01,134.998
1980-06-01,135.679
1980-07-01,136.637
1980-08-01,137.977
