"Date","DISAMBNS"
1936-01-01,10.199
1936-02-01,10.288
1936-03-01,10.022
1936-04-01,9.933
1936-05-01,10.288
1936-06-01,10.199
1936-07-01,10.022
1936-08-01,9.667
1936-09-01,9.844
1936-10-01,10.11
1936-11-01,10.376
1936-12-01,10.376
1937-01-01,10.288
1937-02-01,9.578
1937-03-01,9.578
1937-04-01,9.046
1937-05-01,9.223
1937-06-01,9.135
1937-07-01,9.135
1937-08-01,9.046
1937-09-01,9.223
1937-10-01,9.401
1937-11-01,9.401
1937-12-01,9.401
1938-01-01,9.489
1938-02-01,9.401
1938-03-01,9.844
1938-04-01,10.376
1938-05-01,10.554
1938-06-01,10.731
1938-07-01,11.086
1938-08-01,10.997
1938-09-01,11.086
1938-10-01,11.441
1938-11-01,11.707
1938-12-01,11.795
1939-01-01,11.884
1939-02-01,11.795
1939-03-01,11.884
1939-04-01,12.505
1939-05-01,12.86
1939-06-01,12.948
1939-07-01,13.214
1939-08-01,13.48
1939-09-01,14.19
1939-10-01,14.633
1939-11-01,14.545
1939-12-01,14.456
1940-01-01,14.811
1940-02-01,14.899
1940-03-01,15.077
1940-04-01,15.431
1940-05-01,15.786
1940-06-01,16.318
1940-07-01,16.584
1940-08-01,16.318
1940-09-01,16.584
1940-10-01,17.028
1940-11-01,17.205
1940-12-01,17.383
1941-01-01,17.471
1941-02-01,17.294
1941-03-01,17.294
1941-04-01,17.117
1941-05-01,17.294
1941-06-01,17.117
1941-07-01,17.205
1941-08-01,17.205
1941-09-01,17.56
1941-10-01,16.584
1941-11-01,16.673
1941-12-01,16.939
1942-01-01,17.117
1942-02-01,17.205
1942-03-01,17.294
1942-04-01,17.205
1942-05-01,17.294
1942-06-01,17.649
1942-07-01,17.737
1942-08-01,18.536
1942-09-01,19.156
1942-10-01,19.422
1942-11-01,20.043
1942-12-01,20.93
1943-01-01,21.196
1943-02-01,21.196
1943-03-01,21.64
1943-04-01,21.64
1943-05-01,21.551
1943-06-01,21.906
1943-07-01,22.349
1943-08-01,22.792
1943-09-01,23.502
1943-10-01,23.325
1943-11-01,23.945
1943-12-01,24.655
1944-01-01,24.921
1944-02-01,24.832
1944-03-01,25.098
1944-04-01,25.453
1944-05-01,26.074
1944-06-01,26.872
1944-07-01,26.872
1944-08-01,27.138
1944-09-01,27.848
1944-10-01,28.557
1944-11-01,29.444
1944-12-01,29.621
1945-01-01,29.71
1945-02-01,29.887
1945-03-01,30.42
1945-04-01,30.597
1945-05-01,31.218
1945-06-01,31.661
1945-07-01,31.572
1945-08-01,32.016
1945-09-01,32.548
1945-10-01,32.903
1945-11-01,33.257
1945-12-01,33.612
1946-01-01,33.257
1946-02-01,32.903
1946-03-01,32.725
1946-04-01,32.725
1946-05-01,32.814
1946-06-01,33.08
1946-07-01,33.257
1946-08-01,33.257
1946-09-01,33.435
1946-10-01,33.524
1946-11-01,33.79
1946-12-01,34.144
1947-01-01,33.612
1947-02-01,33.169
1947-03-01,33.169
1947-04-01,33.08
1947-05-01,33.08
1947-06-01,33.257
1947-07-01,33.346
1947-08-01,33.346
1947-09-01,33.967
1947-10-01,34.056
1947-11-01,33.967
1947-12-01,34.41
1948-01-01,34.056
1948-02-01,32.991
1948-03-01,33.169
1948-04-01,32.903
1948-05-01,32.637
1948-06-01,32.903
1948-07-01,33.169
1948-08-01,32.637
1948-09-01,32.282
1948-10-01,33.435
1948-11-01,33.524
1948-12-01,33.701
1949-01-01,33.257
1949-02-01,32.725
1949-03-01,32.637
1949-04-01,33.435
1949-05-01,32.637
1949-06-01,33.257
1949-07-01,33.612
1949-08-01,33.612
1949-09-01,32.903
1949-10-01,32.903
1949-11-01,32.903
1949-12-01,33.257
1950-01-01,32.991
1950-02-01,32.459
1950-03-01,32.548
1950-04-01,32.371
1950-05-01,32.371
1950-06-01,32.548
1950-07-01,32.637
1950-08-01,32.548
1950-09-01,32.903
1950-10-01,33.08
1950-11-01,33.169
1950-12-01,33.257
