"Date","EURONS"
1959-01-01,0.7
1959-02-01,0.7
1959-03-01,0.7
1959-04-01,0.7
1959-05-01,0.7
1959-06-01,0.7
1959-07-01,0.7
1959-08-01,0.7
1959-09-01,0.7
1959-10-01,0.7
1959-11-01,0.7
1959-12-01,0.7
1960-01-01,0.7
1960-02-01,0.7
1960-03-01,0.8
1960-04-01,0.8
1960-05-01,0.8
1960-06-01,0.8
1960-07-01,0.8
1960-08-01,0.9
1960-09-01,0.9
1960-10-01,0.9
1960-11-01,0.9
1960-12-01,0.8
1961-01-01,0.9
1961-02-01,1
1961-03-01,1.1
1961-04-01,1.2
1961-05-01,1.4
1961-06-01,1.5
1961-07-01,1.6
1961-08-01,1.6
1961-09-01,1.5
1961-10-01,1.5
1961-11-01,1.5
1961-12-01,1.5
1962-01-01,1.5
1962-02-01,1.5
1962-03-01,1.6
1962-04-01,1.6
1962-05-01,1.5
1962-06-01,1.5
1962-07-01,1.5
1962-08-01,1.6
1962-09-01,1.6
1962-10-01,1.6
1962-11-01,1.6
1962-12-01,1.6
1963-01-01,1.7
1963-02-01,1.7
1963-03-01,1.7
1963-04-01,1.8
1963-05-01,1.8
1963-06-01,1.8
1963-07-01,1.8
1963-08-01,1.8
1963-09-01,1.8
1963-10-01,1.8
1963-11-01,1.9
1963-12-01,1.9
1964-01-01,2
1964-02-01,2
1964-03-01,2
1964-04-01,2.1
1964-05-01,2.1
1964-06-01,2.2
1964-07-01,2.2
1964-08-01,2.2
1964-09-01,2.3
1964-10-01,2.3
1964-11-01,2.4
1964-12-01,2.4
1965-01-01,2.4
1965-02-01,2.3
1965-03-01,2.2
1965-04-01,2.1
1965-05-01,2
1965-06-01,1.9
1965-07-01,1.9
1965-08-01,1.9
1965-09-01,1.8
1965-10-01,1.8
1965-11-01,1.8
1965-12-01,1.8
1966-01-01,1.8
1966-02-01,1.8
1966-03-01,1.8
1966-04-01,1.8
1966-05-01,1.8
1966-06-01,1.9
1966-07-01,1.9
1966-08-01,2
1966-09-01,2
1966-10-01,2.1
1966-11-01,2.1
1966-12-01,2.2
1967-01-01,2.2
1967-02-01,2.2
1967-03-01,2.2
1967-04-01,2.2
1967-05-01,2.2
1967-06-01,2.2
1967-07-01,2.1
1967-08-01,2.1
1967-09-01,2.1
1967-10-01,2.1
1967-11-01,2.1
1967-12-01,2.2
1968-01-01,2.3
1968-02-01,2.4
1968-03-01,2.5
1968-04-01,2.6
1968-05-01,2.8
1968-06-01,3
1968-07-01,3.1
1968-08-01,3.3
1968-09-01,3.3
1968-10-01,3.3
1968-11-01,3.1
1968-12-01,2.9
1969-01-01,2.8
1969-02-01,2.9
1969-03-01,3
1969-04-01,3
1969-05-01,3
1969-06-01,2.9
1969-07-01,2.9
1969-08-01,2.9
1969-09-01,2.8
1969-10-01,2.8
1969-11-01,2.6
1969-12-01,2.7
1970-01-01,2.7
1970-02-01,3
1970-03-01,3.2
1970-04-01,3.1
1970-05-01,3
1970-06-01,2.9
1970-07-01,2.8
1970-08-01,2.8
1970-09-01,2.8
1970-10-01,2.8
1970-11-01,2.5
1970-12-01,2.2
1971-01-01,2.1
1971-02-01,2.3
1971-03-01,2.5
1971-04-01,2.5
1971-05-01,2.5
1971-06-01,2.5
1971-07-01,2.5
1971-08-01,2.5
1971-09-01,2.5
1971-10-01,2.6
1971-11-01,2.7
1971-12-01,2.7
1972-01-01,2.8
1972-02-01,2.9
1972-03-01,3.1
1972-04-01,3.2
1972-05-01,3.2
1972-06-01,3.3
1972-07-01,3.5
1972-08-01,3.7
1972-09-01,3.8
1972-10-01,3.6
1972-11-01,3.6
1972-12-01,3.6
1973-01-01,3.9
1973-02-01,4.5
1973-03-01,4.9
1973-04-01,5
1973-05-01,5.3
1973-06-01,5.4
1973-07-01,5.4
1973-08-01,5.6
1973-09-01,5.6
1973-10-01,5.6
1973-11-01,5.6
1973-12-01,5.5
1974-01-01,5.5
1974-02-01,6
1974-03-01,6.6
1974-04-01,7.1
1974-05-01,7.5
1974-06-01,7.6
1974-07-01,7.7
1974-08-01,7.7
1974-09-01,7.4
1974-10-01,7.5
1974-11-01,7.9
1974-12-01,8.1
1975-01-01,8.2
1975-02-01,8.4
1975-03-01,8.3
1975-04-01,8.3
1975-05-01,8.6
1975-06-01,8.5
1975-07-01,8.5
1975-08-01,8.9
1975-09-01,9.2
1975-10-01,9.4
1975-11-01,9.6
1975-12-01,9.8
1976-01-01,11.4
1976-02-01,11.8
1976-03-01,12.1
1976-04-01,12.6
1976-05-01,13.4
1976-06-01,13.7
1976-07-01,14
1976-08-01,14.2
1976-09-01,14.1
1976-10-01,14.4
1976-11-01,14.8
1976-12-01,14.8
1977-01-01,14.7
1977-02-01,14.9
1977-03-01,15.4
1977-04-01,16.1
1977-05-01,17.1
1977-06-01,18.1
1977-07-01,18.6
1977-08-01,18.7
1977-09-01,18.9
1977-10-01,19.4
1977-11-01,20.5
1977-12-01,21.1
1978-01-01,22.5
1978-02-01,24.5
1978-03-01,25.6
1978-04-01,26.1
1978-05-01,26.7
1978-06-01,27.7
1978-07-01,28.9
1978-08-01,30
1978-09-01,29.6
1978-10-01,30.8
1978-11-01,33.7
1978-12-01,34.1
1979-01-01,36.2
1979-02-01,39.4
1979-03-01,40.5
1979-04-01,40.9
1979-05-01,42
1979-06-01,44.2
1979-07-01,47.1
1979-08-01,50.7
1979-09-01,52.2
1979-10-01,52.4
1979-11-01,52.4
1979-12-01,51
1980-01-01,55.6
1980-02-01,59
1980-03-01,58
1980-04-01,57.5
1980-05-01,58.6
1980-06-01,57.7
1980-07-01,59.1
1980-08-01,58.3
1980-09-01,55
1980-10-01,55.8
1980-11-01,58.3
1980-12-01,59.5
1981-01-01,63.1
1981-02-01,65.4
1981-03-01,64.4
1981-04-01,68.8
1981-05-01,74.3
1981-06-01,73.9
1981-07-01,78.2
1981-08-01,80.2
1981-09-01,81.4
1981-10-01,83.9
1981-11-01,86.2
1981-12-01,86.4
1982-01-01,92.4
1982-02-01,95.2
1982-03-01,96.1
1982-04-01,101.6
1982-05-01,106.1
1982-06-01,107.5
1982-07-01,106.2
1982-08-01,104.4
1982-09-01,103.6
1982-10-01,104.6
1982-11-01,104
1982-12-01,102.1
1983-01-01,102.5
1983-02-01,104.7
1983-03-01,107.3
1983-04-01,110.3
1983-05-01,112.3
1983-06-01,112.1
1983-07-01,112.9
1983-08-01,113.7
1983-09-01,112.8
1983-10-01,109.2
1983-11-01,112.6
1983-12-01,115.1
1984-01-01,112
1984-02-01,113.2
1984-03-01,115.7
1984-04-01,115.4
1984-05-01,117.9
1984-06-01,114.3
1984-07-01,114.3
1984-08-01,112.4
1984-09-01,111.2
1984-10-01,105.5
1984-11-01,104.6
1984-12-01,108.2
1985-01-01,108.2
1985-02-01,107.9
1985-03-01,109.2
1985-04-01,103.7
1985-05-01,104.5
1985-06-01,101.2
1985-07-01,100
1985-08-01,103.5
1985-09-01,104.6
1985-10-01,102.9
1985-11-01,102.2
1985-12-01,104.3
1986-01-01,106.7
1986-02-01,107.1
1986-03-01,110.1
1986-04-01,109.4
1986-05-01,108.9
1986-06-01,109.1
1986-07-01,107.9
1986-08-01,107.9
1986-09-01,112.1
1986-10-01,111
1986-11-01,111.8
1986-12-01,116.6
1987-01-01,120.8
1987-02-01,122
1987-03-01,122.8
1987-04-01,119.6
1987-05-01,122.7
1987-06-01,123.1
1987-07-01,117.7
1987-08-01,123.3
1987-09-01,130.5
1987-10-01,128.3
1987-11-01,123.4
1987-12-01,123.2
1988-01-01,120.1
1988-02-01,117
1988-03-01,120.3
1988-04-01,121.5
1988-05-01,126.6
1988-06-01,128.7
1988-07-01,129.9
1988-08-01,134
1988-09-01,132.7
1988-10-01,128.7
1988-11-01,130.3
1988-12-01,134.5
1989-01-01,130.5
1989-02-01,129.3
1989-03-01,134
1989-04-01,130.5
1989-05-01,126.8
1989-06-01,123
1989-07-01,122.9
1989-08-01,121.4
1989-09-01,118
1989-10-01,112
1989-11-01,110.1
1989-12-01,112.4
1990-01-01,107.9
1990-02-01,101.5
1990-03-01,98.9
1990-04-01,95.9
1990-05-01,99.7
1990-06-01,96.1
1990-07-01,95.6
1990-08-01,98
1990-09-01,100.8
1990-10-01,102.2
1990-11-01,101.6
1990-12-01,106.4
1991-01-01,106.4
1991-02-01,104.6
1991-03-01,105.2
1991-04-01,101.4
1991-05-01,97.4
1991-06-01,95
1991-07-01,93.9
1991-08-01,94.7
1991-09-01,92.8
1991-10-01,92.4
1991-11-01,93.6
1991-12-01,95
1992-01-01,91.9
1992-02-01,90.6
1992-03-01,92.1
1992-04-01,86.4
1992-05-01,83.3
1992-06-01,83
1992-07-01,81.5
1992-08-01,79.3
1992-09-01,79.2
1992-10-01,79.7
1992-11-01,79.7
1992-12-01,81.3
1993-01-01,78.9
1993-02-01,80.3
1993-03-01,81.8
1993-04-01,78.7
1993-05-01,76.5
1993-06-01,73.7
1993-07-01,69.7
1993-08-01,71.7
1993-09-01,71.5
1993-10-01,72.3
1993-11-01,75.2
1993-12-01,73.9
1994-01-01,73.1
1994-02-01,74.1
1994-03-01,73.3
1994-04-01,72.2
1994-05-01,75.2
1994-06-01,79.1
1994-07-01,83.1
1994-08-01,83.2
1994-09-01,83.3
1994-10-01,85.6
1994-11-01,87.2
1994-12-01,87.3
1995-01-01,91
1995-02-01,90.1
1995-03-01,91.6
1995-04-01,92.5
1995-05-01,93.4
1995-06-01,94.4
1995-07-01,95.4
1995-08-01,96.8
1995-09-01,97.3
1995-10-01,97
1995-11-01,94.9
1995-12-01,94.9
1996-01-01,98.6
1996-02-01,99.5
1996-03-01,97.9
1996-04-01,98.7
1996-05-01,99.1
1996-06-01,100.3
1996-07-01,97.5
1996-08-01,97
1996-09-01,99.5
1996-10-01,107
1996-11-01,108.3
1996-12-01,115.7
1997-01-01,120.1
1997-02-01,121.9
1997-03-01,123.1
1997-04-01,123.9
1997-05-01,130.1
1997-06-01,125.7
1997-07-01,126.5
1997-08-01,131.3
1997-09-01,133.5
1997-10-01,133
1997-11-01,136.5
1997-12-01,148.9
1998-01-01,151.9
1998-02-01,145.3
1998-03-01,138.4
1998-04-01,137.5
1998-05-01,141.8
1998-06-01,140.5
1998-07-01,142.4
1998-08-01,148.3
1998-09-01,150.5
1998-10-01,155.1
1998-11-01,151.4
1998-12-01,151.5
1999-01-01,148.8
1999-02-01,151.7
1999-03-01,153.2
1999-04-01,154.5
1999-05-01,156.8
1999-06-01,158.4
1999-07-01,155.5
1999-08-01,154.6
1999-09-01,152.2
1999-10-01,150.8
1999-11-01,159.7
1999-12-01,171.7
2000-01-01,176.7
2000-02-01,178.5
2000-03-01,189
2000-04-01,184.1
2000-05-01,188.9
2000-06-01,185.1
2000-07-01,179.1
2000-08-01,181.5
2000-09-01,185.2
2000-10-01,186.3
2000-11-01,190
2000-12-01,195.2
2001-01-01,200.2
2001-02-01,209
2001-03-01,221.8
2001-04-01,215.8
2001-05-01,215.9
2001-06-01,211.3
2001-07-01,212.1
2001-08-01,209.4
2001-09-01,211.3
2001-10-01,207.5
2001-11-01,213.2
2001-12-01,210.3
2002-01-01,210.5
2002-02-01,219.1
2002-03-01,221.2
2002-04-01,220.1
2002-05-01,215.5
2002-06-01,209.2
2002-07-01,206.3
2002-08-01,207.2
2002-09-01,211.1
2002-10-01,219.3
2002-11-01,226.4
2002-12-01,228.8
2003-01-01,237.5
2003-02-01,241.3
2003-03-01,245.2
2003-04-01,252.9
2003-05-01,264.9
2003-06-01,260.5
2003-07-01,266.7
2003-08-01,277.3
2003-09-01,279.9
2003-10-01,289
2003-11-01,291.3
2003-12-01,292.8
2004-01-01,305.8
2004-02-01,316.4
2004-03-01,323.8
2004-04-01,332.8
2004-05-01,332.3
2004-06-01,322.6
2004-07-01,328.5
2004-08-01,338
2004-09-01,348.9
2004-10-01,366.3
2004-11-01,370
2004-12-01,376.6
2005-01-01,395.2
2005-02-01,400.1
2005-03-01,410.9
2005-04-01,411.2
2005-05-01,409
2005-06-01,391
2005-07-01,396
2005-08-01,409.4
2005-09-01,414.6
2005-10-01,418.6
2005-11-01,421.9
2005-12-01,422
2006-01-01,424.1
2006-02-01,430.2
