"Date","LTDSL"
1959-01-01,1.6
1959-02-01,1.5
1959-03-01,1.5
1959-04-01,1.5
1959-05-01,1.5
1959-06-01,1.5
1959-07-01,1.5
1959-08-01,1.4
1959-09-01,1.4
1959-10-01,1.3
1959-11-01,1.3
1959-12-01,1.2
1960-01-01,1.2
1960-02-01,1.2
1960-03-01,1.3
1960-04-01,1.3
1960-05-01,1.3
1960-06-01,1.4
1960-07-01,1.5
1960-08-01,1.6
1960-09-01,1.7
1960-10-01,1.8
1960-11-01,1.9
1960-12-01,2
1961-01-01,2.2
1961-02-01,2.4
1961-03-01,2.5
1961-04-01,2.7
1961-05-01,2.9
1961-06-01,3.1
1961-07-01,3.4
1961-08-01,3.6
1961-09-01,3.7
1961-10-01,3.9
1961-11-01,4
1961-12-01,3.9
1962-01-01,4.1
1962-02-01,4.4
1962-03-01,4.8
1962-04-01,5.1
1962-05-01,5.2
1962-06-01,5.6
1962-07-01,5.6
1962-08-01,5.7
1962-09-01,6
1962-10-01,6.4
1962-11-01,6.6
1962-12-01,7
1963-01-01,7.3
1963-02-01,7.5
1963-03-01,7.9
1963-04-01,8.1
1963-05-01,8.3
1963-06-01,8.5
1963-07-01,8.6
1963-08-01,9.1
1963-09-01,9.5
1963-10-01,9.9
1963-11-01,10.5
1963-12-01,10.8
1964-01-01,11.3
1964-02-01,11.7
1964-03-01,11.8
1964-04-01,12
1964-05-01,12.5
1964-06-01,12.9
1964-07-01,13.2
1964-08-01,13.5
1964-09-01,13.9
1964-10-01,14.5
1964-11-01,14.9
1964-12-01,15.2
1965-01-01,15.9
1965-02-01,16.4
1965-03-01,16.6
1965-04-01,17
1965-05-01,17.3
1965-06-01,17.9
1965-07-01,18.5
1965-08-01,19.1
1965-09-01,19.8
1965-10-01,20.6
1965-11-01,20.8
1965-12-01,21.2
1966-01-01,21.4
1966-02-01,21.4
1966-03-01,21.8
1966-04-01,23
1966-05-01,23.6
1966-06-01,24.1
1966-07-01,25.1
1966-08-01,25.1
1966-09-01,24.9
1966-10-01,23.7
1966-11-01,22.6
1966-12-01,23.1
1967-01-01,25.3
1967-02-01,27.1
1967-03-01,28.1
1967-04-01,28.3
1967-05-01,28.3
1967-06-01,28.9
1967-07-01,29.3
1967-08-01,29.6
1967-09-01,30.1
1967-10-01,30
1967-11-01,30.6
1967-12-01,30.9
1968-01-01,30.7
1968-02-01,30.9
1968-03-01,31.4
1968-04-01,30.9
1968-05-01,30.6
1968-06-01,30.4
1968-07-01,31.9
1968-08-01,33
1968-09-01,33.7
1968-10-01,34.9
1968-11-01,36.2
1968-12-01,37.4
1969-01-01,35.8
1969-02-01,34.3
1969-03-01,33.5
1969-04-01,32.8
1969-05-01,32.1
1969-06-01,30.8
1969-07-01,27.7
1969-08-01,24.8
1969-09-01,23.7
1969-10-01,22.5
1969-11-01,21.3
1969-12-01,20.4
1970-01-01,19.1
1970-02-01,19.3
1970-03-01,20.7
1970-04-01,24.1
1970-05-01,25.4
1970-06-01,25.1
1970-07-01,30.9
1970-08-01,34.5
1970-09-01,37.7
1970-10-01,40.4
1970-11-01,42.8
1970-12-01,45.2
1971-01-01,47.1
1971-02-01,49.4
1971-03-01,51
1971-04-01,48.9
1971-05-01,49.8
1971-06-01,51
1971-07-01,52.3
1971-08-01,52
1971-09-01,52.4
1971-10-01,54.6
1971-11-01,55.8
1971-12-01,57.7
1972-01-01,58.3
1972-02-01,59.2
1972-03-01,58.8
1972-04-01,60.6
1972-05-01,63.9
1972-06-01,65.4
1972-07-01,66
1972-08-01,67.5
1972-09-01,68.4
1972-10-01,69.2
1972-11-01,71.7
1972-12-01,73.3
1973-01-01,74.3
1973-02-01,79.3
1973-03-01,86.9
1973-04-01,90.2
1973-05-01,92.6
1973-06-01,93.4
1973-07-01,98
1973-08-01,104
1973-09-01,109
1973-10-01,110.4
1973-11-01,110.2
1973-12-01,110.9
1974-01-01,115.1
1974-02-01,118.4
1974-03-01,119.5
1974-04-01,126.8
1974-05-01,132.6
1974-06-01,136.8
1974-07-01,139.6
1974-08-01,140.9
1974-09-01,141.5
1974-10-01,142.2
1974-11-01,141.7
1974-12-01,144.7
1975-01-01,147.1
1975-02-01,145.7
1975-03-01,142.5
1975-04-01,137.9
1975-05-01,135.7
1975-06-01,133.1
1975-07-01,130.2
1975-08-01,128.6
1975-09-01,129.1
1975-10-01,130.3
1975-11-01,131.2
1975-12-01,129.7
1976-01-01,127.2
1976-02-01,124.5
1976-03-01,125.2
1976-04-01,124.9
1976-05-01,122.1
1976-06-01,124.8
1976-07-01,125.5
1976-08-01,122.6
1976-09-01,120.7
1976-10-01,118.8
1976-11-01,117.8
1976-12-01,118.1
1977-01-01,117.6
1977-02-01,118.3
1977-03-01,118.5
1977-04-01,118.8
1977-05-01,120.3
1977-06-01,123.4
1977-07-01,126.1
1977-08-01,129.5
1977-09-01,132.2
1977-10-01,136.5
1977-11-01,140.8
1977-12-01,145.2
1978-01-01,149.1
1978-02-01,153.1
1978-03-01,158.7
1978-04-01,164.8
1978-05-01,170.8
1978-06-01,173.7
1978-07-01,177.1
1978-08-01,180.8
1978-09-01,182.6
1978-10-01,184.5
1978-11-01,191.8
1978-12-01,195.6
1979-01-01,198.6
1979-02-01,201
1979-03-01,201.7
1979-04-01,201.2
1979-05-01,201
1979-06-01,199.4
1979-07-01,201
1979-08-01,204
1979-09-01,210.7
1979-10-01,217.5
1979-11-01,220.3
1979-12-01,223.1
1980-01-01,225.7
1980-02-01,229.5
1980-03-01,233.5
1980-04-01,238.5
1980-05-01,239.3
1980-06-01,233.5
1980-07-01,228.7
1980-08-01,228.7
1980-09-01,232.7
1980-10-01,238.2
1980-11-01,246.9
1980-12-01,260.2
1981-01-01,271.8
1981-02-01,276.6
1981-03-01,275.2
1981-04-01,274.3
1981-05-01,281.7
1981-06-01,285.9
1981-07-01,290.4
1981-08-01,295.3
1981-09-01,298.8
1981-10-01,301.4
1981-11-01,302.5
1981-12-01,304.3
1982-01-01,305.2
1982-02-01,311.1
1982-03-01,314.6
1982-04-01,317.6
1982-05-01,319
1982-06-01,320.4
1982-07-01,323.9
1982-08-01,325.1
1982-09-01,324.9
1982-10-01,329.3
1982-11-01,329.5
1982-12-01,325.6
1983-01-01,301.5
1983-02-01,289.8
1983-03-01,284.8
1983-04-01,287.2
1983-05-01,284.9
1983-06-01,287.3
1983-07-01,289.4
1983-08-01,294.4
1983-09-01,299.8
1983-10-01,302.3
1983-11-01,308.9
1983-12-01,316.1
1984-01-01,321.5
1984-02-01,326
1984-03-01,333.8
1984-04-01,341
1984-05-01,353.1
1984-06-01,365
1984-07-01,375.8
1984-08-01,381.7
1984-09-01,385.3
1984-10-01,393.8
1984-11-01,396.7
1984-12-01,402.2
1985-01-01,402
1985-02-01,401.9
1985-03-01,406.2
1985-04-01,410.5
1985-05-01,410.4
1985-06-01,407.8
1985-07-01,403.6
1985-08-01,405.6
1985-09-01,410.3
1985-10-01,413.6
1985-11-01,417.3
1985-12-01,421.7
1986-01-01,431.4
1986-02-01,434.1
1986-03-01,434.1
1986-04-01,433.8
1986-05-01,429.1
1986-06-01,427.8
1986-07-01,427.8
1986-08-01,429.3
1986-09-01,427.7
1986-10-01,423.2
1986-11-01,419.9
1986-12-01,419
1987-01-01,421.9
1987-02-01,423.6
1987-03-01,426
1987-04-01,427.6
1987-05-01,432.9
1987-06-01,438.7
1987-07-01,440.2
1987-08-01,441.9
1987-09-01,443.5
1987-10-01,451.5
1987-11-01,459.7
1987-12-01,461.9
1988-01-01,460.2
1988-02-01,465.1
1988-03-01,469.6
1988-04-01,469.8
1988-05-01,472.6
1988-06-01,477.6
1988-07-01,484.5
1988-08-01,492.8
1988-09-01,500.8
1988-10-01,504.1
1988-11-01,504.4
1988-12-01,512.4
1989-01-01,519.6
1989-02-01,523.5
1989-03-01,529.7
1989-04-01,535.3
1989-05-01,537.1
1989-06-01,537
1989-07-01,536.4
1989-08-01,534.5
1989-09-01,531.8
1989-10-01,529.3
1989-11-01,528.3
1989-12-01,528.1
1990-01-01,529.2
1990-02-01,524.8
1990-03-01,519.5
1990-04-01,516.4
1990-05-01,514
1990-06-01,509.4
1990-07-01,509.3
1990-08-01,505.6
1990-09-01,497.5
1990-10-01,494.2
1990-11-01,491.9
1990-12-01,481.7
1991-01-01,483.1
1991-02-01,481.8
1991-03-01,476.1
1991-04-01,470.2
1991-05-01,463.7
1991-06-01,460.7
1991-07-01,451.4
1991-08-01,444.9
1991-09-01,439
1991-10-01,430.3
1991-11-01,424
1991-12-01,418.6
1992-01-01,412.3
1992-02-01,406.4
1992-03-01,402.4
1992-04-01,396.9
1992-05-01,391.1
1992-06-01,385.9
1992-07-01,380.3
1992-08-01,375.2
1992-09-01,371.3
1992-10-01,364.7
1992-11-01,358.9
1992-12-01,355.7
1993-01-01,350.8
1993-02-01,348.1
1993-03-01,345.5
1993-04-01,345.3
1993-05-01,349.1
1993-06-01,346.9
1993-07-01,341.2
1993-08-01,340.3
1993-09-01,338.1
1993-10-01,338.6
1993-11-01,338.3
1993-12-01,339.2
1994-01-01,341.4
1994-02-01,338.9
1994-03-01,337.1
1994-04-01,339.5
1994-05-01,343.6
1994-06-01,346.5
1994-07-01,351.9
1994-08-01,356
1994-09-01,361.6
1994-10-01,366.4
1994-11-01,372.6
1994-12-01,378.9
1995-01-01,383.2
1995-02-01,389.4
1995-03-01,396.8
1995-04-01,400
1995-05-01,404.8
1995-06-01,410.4
1995-07-01,412.7
1995-08-01,418.2
1995-09-01,423.1
1995-10-01,429.7
1995-11-01,435
1995-12-01,438.9
1996-01-01,445
1996-02-01,451.6
1996-03-01,456.2
1996-04-01,457.8
1996-05-01,467.8
1996-06-01,473.9
1996-07-01,480.8
1996-08-01,488.8
1996-09-01,494.7
1996-10-01,510.6
1996-11-01,512.4
1996-12-01,521.1
1997-01-01,527.1
1997-02-01,535.3
1997-03-01,545
1997-04-01,559.4
1997-05-01,564.1
1997-06-01,572.9
1997-07-01,590
1997-08-01,602.8
1997-09-01,614.6
1997-10-01,623.8
1997-11-01,627.3
1997-12-01,631.1
1998-01-01,635.1
1998-02-01,648.7
1998-03-01,668.2
1998-04-01,663.5
1998-05-01,667.9
1998-06-01,673.7
1998-07-01,662.9
1998-08-01,677
1998-09-01,679.5
1998-10-01,684.6
1998-11-01,685.7
1998-12-01,683.7
1999-01-01,687.5
1999-02-01,686
1999-03-01,682.3
1999-04-01,680.1
1999-05-01,680
1999-06-01,677.8
1999-07-01,682
1999-08-01,680
1999-09-01,682.7
1999-10-01,708.2
1999-11-01,734.1
1999-12-01,758.9
2000-01-01,767.3
2000-02-01,772.6
2000-03-01,783.3
2000-04-01,794.9
2000-05-01,793.5
2000-06-01,804.9
2000-07-01,812.5
2000-08-01,827.7
2000-09-01,823.5
2000-10-01,820.5
2000-11-01,822.9
2000-12-01,836.9
2001-01-01,856.1
2001-02-01,828.5
2001-03-01,803.8
2001-04-01,823.4
2001-05-01,828.9
2001-06-01,835.1
2001-07-01,826.1
2001-08-01,815.1
2001-09-01,815.7
2001-10-01,808.1
2001-11-01,804.7
2001-12-01,802.2
2002-01-01,812.4
2002-02-01,817
2002-03-01,818.7
2002-04-01,828.1
2002-05-01,838.7
2002-06-01,832.8
2002-07-01,832.1
2002-08-01,833.1
2002-09-01,832.4
2002-10-01,845.7
2002-11-01,840.7
2002-12-01,815.7
2003-01-01,826.8
2003-02-01,826.3
2003-03-01,828.8
2003-04-01,822.6
2003-05-01,823.7
2003-06-01,824.2
2003-07-01,835.2
2003-08-01,847.3
2003-09-01,856.3
2003-10-01,856.8
2003-11-01,870.5
2003-12-01,885.1
2004-01-01,915.7
2004-02-01,921
2004-03-01,941.5
2004-04-01,960.1
2004-05-01,981.7
2004-06-01,994.1
2004-07-01,1011.6
2004-08-01,1022.6
2004-09-01,1029.5
2004-10-01,1036.4
2004-11-01,1048.1
2004-12-01,1070.7
2005-01-01,1124.8
2005-02-01,1139.2
2005-03-01,1151
2005-04-01,1195.5
2005-05-01,1208.5
2005-06-01,1235.8
2005-07-01,1223.6
2005-08-01,1265.9
2005-09-01,1292.7
2005-10-01,1322.1
2005-11-01,1331.9
2005-12-01,1353.6
2006-01-01,1388.1
2006-02-01,1403.2
