"Date","M14063USM027NNBR"
1914-11-01,0.252
1914-12-01,0.259
1915-01-01,0.255
1915-02-01,0.28
1915-03-01,0.268
1915-04-01,0.267
1915-05-01,0.278
1915-06-01,0.292
1915-07-01,0.289
1915-08-01,0.287
1915-09-01,0.302
1915-10-01,0.31
1915-11-01,0.34
1915-12-01,0.357
1916-01-01,0.363
1916-02-01,0.357
1916-03-01,0.351
1916-04-01,0.331
1916-05-01,0.335
1916-06-01,0.382
1916-07-01,0.396
1916-08-01,0.382
1916-09-01,0.386
1916-10-01,0.402
1916-11-01,0.44
1916-12-01,0.451
1917-01-01,0.51
1917-02-01,0.511
1917-03-01,0.564
1917-04-01,0.565
1917-05-01,0.58
1917-06-01,0.86
1917-07-01,1.4
1917-08-01,1.421
1917-09-01,1.438
1917-10-01,1.514
1917-11-01,1.639
1917-12-01,1.7
1918-01-01,1.762
1918-02-01,1.81
1918-03-01,1.855
1918-04-01,1.89
1918-05-01,1.949
1918-06-01,1.993
1918-07-01,2.023
1918-08-01,2.049
1918-09-01,2.074
1918-10-01,2.087
1918-11-01,2.111
1918-12-01,2.134
1919-01-01,2.17
1919-02-01,2.18
1919-03-01,2.2
1919-04-01,2.22
1919-05-01,2.25
1919-06-01,2.25
1919-07-01,2.18
1919-08-01,2.15
1919-09-01,2.16
1919-10-01,2.2
1919-11-01,2.18
1919-12-01,2.15
1920-01-01,2.1
1920-02-01,2.06
1920-03-01,2.06
1920-04-01,2.08
1920-05-01,2.08
1920-06-01,2.1
1920-07-01,2.12
1920-08-01,2.13
1920-09-01,2.13
1920-10-01,2.16
1920-11-01,2.18
1920-12-01,2.22
1921-01-01,2.29
1921-02-01,2.34
1921-03-01,2.4
1921-04-01,2.48
1921-05-01,2.54
1921-06-01,2.61
1921-07-01,2.66
1921-08-01,2.74
1921-09-01,2.84
1921-10-01,2.91
1921-11-01,2.96
1921-12-01,3
1922-01-01,3.04
1922-02-01,3.07
1922-03-01,3.1
1922-04-01,3.12
1922-05-01,3.13
1922-06-01,3.14
1922-07-01,3.16
1922-08-01,3.2
1922-09-01,3.19
1922-10-01,3.21
1922-11-01,3.21
1922-12-01,3.17
1923-01-01,3.2
1923-02-01,3.21
1923-03-01,3.19
1923-04-01,3.18
1923-05-01,3.18
1923-06-01,3.2
1923-07-01,3.18
1923-08-01,3.19
1923-09-01,3.19
1923-10-01,3.19
1923-11-01,3.2
1923-12-01,3.17
1924-01-01,3.24
1924-02-01,3.24
1924-03-01,3.22
1924-04-01,3.2
1924-05-01,3.22
1924-06-01,3.25
1924-07-01,3.25
1924-08-01,3.21
1924-09-01,3.16
1924-10-01,3.12
1924-11-01,3.13
1924-12-01,3.06
1925-01-01,3.07
1925-02-01,3.04
1925-03-01,3
1925-04-01,2.98
1925-05-01,2.98
1925-06-01,2.95
1925-07-01,2.92
1925-08-01,2.9
1925-09-01,2.87
1925-10-01,2.87
1925-11-01,2.88
1925-12-01,2.81
1926-01-01,2.92
1926-02-01,2.93
1926-03-01,2.93
1926-04-01,2.93
1926-05-01,2.95
1926-06-01,2.98
1926-07-01,2.97
1926-08-01,2.97
1926-09-01,2.95
1926-10-01,2.94
1926-11-01,2.96
1926-12-01,2.93
1927-01-01,3.06
1927-02-01,3.14
1927-03-01,3.17
1927-04-01,3.18
1927-05-01,3.19
1927-06-01,3.17
1927-07-01,3.16
1927-08-01,3.15
1927-09-01,3.12
1927-10-01,3.09
1927-11-01,3.01
1927-12-01,2.89
1928-01-01,2.94
1928-02-01,2.97
1928-03-01,2.94
1928-04-01,2.88
1928-05-01,2.81
1928-06-01,2.73
1928-07-01,2.73
1928-08-01,2.75
1928-09-01,2.75
1928-10-01,2.75
1928-11-01,2.77
1928-12-01,2.72
1929-01-01,2.78
1929-02-01,2.83
1929-03-01,2.85
1929-04-01,2.94
1929-05-01,2.99
1929-06-01,3.01
1929-07-01,3.08
1929-08-01,3.12
1929-09-01,3.14
1929-10-01,3.16
1929-11-01,3.17
1929-12-01,3.04
1930-01-01,3.12
1930-02-01,3.16
1930-03-01,3.2
1930-04-01,3.21
1930-05-01,3.23
1930-06-01,3.21
1930-07-01,3.17
1930-08-01,3.1
1930-09-01,3.11
1930-10-01,3.14
1930-11-01,3.16
1930-12-01,3.09
1931-01-01,3.2
1931-02-01,3.25
1931-03-01,3.28
1931-04-01,3.31
1931-05-01,3.37
1931-06-01,3.49
1931-07-01,3.58
1931-08-01,3.62
1931-09-01,3.56
1931-10-01,3.02
1931-11-01,3.02
1931-12-01,3.13
1932-01-01,3.18
1932-02-01,3.16
1932-03-01,3.19
1932-04-01,3.23
1932-05-01,3.12
1932-06-01,2.8
1932-07-01,2.79
1932-08-01,2.91
1932-09-01,3.03
1932-10-01,3.14
1932-11-01,3.22
1932-12-01,3.28
1933-01-01,3.42
1933-02-01,3.36
1933-03-01,3.15
1933-04-01,3.55
1933-05-01,3.77
1933-06-01,3.81
1933-07-01,3.81
1933-08-01,3.82
1933-09-01,3.81
1933-10-01,3.81
1933-11-01,3.79
1933-12-01,3.77
1934-01-01,3.8
1934-02-01,3.87
1934-03-01,4.45
1934-04-01,4.68
1934-05-01,4.86
1934-06-01,5.01
1934-07-01,5.08
1934-08-01,5.2
1934-09-01,5.2
1934-10-01,5.2
1934-11-01,5.27
1934-12-01,5.36
1935-01-01,5.52
1935-02-01,5.75
1935-03-01,5.82
1935-04-01,5.91
1935-05-01,6.05
1935-06-01,6.29
1935-07-01,6.49
1935-08-01,6.63
1935-09-01,6.77
1935-10-01,7.09
1935-11-01,7.4
1935-12-01,7.76
1936-01-01,7.94
1936-02-01,8.02
1936-03-01,8.02
1936-04-01,8.02
1936-05-01,8.08
1936-06-01,8.23
1936-07-01,8.46
1936-08-01,8.54
1936-09-01,8.64
1936-10-01,8.83
1936-11-01,8.98
1936-12-01,9.08
1937-01-01,9.16
1937-02-01,9.14
1937-03-01,9.12
1937-04-01,9.13
1937-05-01,9.14
1937-06-01,9.15
1937-07-01,9.15
1937-08-01,9.15
1937-09-01,9.31
1937-10-01,9.44
1937-11-01,9.45
1937-12-01,9.44
1938-01-01,9.53
1938-02-01,9.59
1938-03-01,9.67
1938-04-01,10.48
1938-05-01,11.06
1938-06-01,11.04
1938-07-01,11.04
1938-08-01,11.03
1938-09-01,11.07
1938-10-01,11.5
1938-11-01,11.77
1938-12-01,12.06
1939-01-01,12.31
1939-02-01,12.47
1939-03-01,12.69
1939-04-01,13.18
1939-05-01,13.6
1939-06-01,13.78
1939-07-01,13.99
1939-08-01,14.39
1939-09-01,14.89
1939-10-01,15.09
1939-11-01,15.22
1939-12-01,15.38
1940-01-01,15.81
1940-02-01,16.08
1940-03-01,16.32
1940-04-01,16.65
1940-05-01,17.09
1940-06-01,17.71
1940-07-01,18.4
1940-08-01,18.78
1940-09-01,19.1
1940-10-01,19.45
1940-11-01,19.75
1940-12-01,19.92
1941-01-01,20.2
1941-02-01,20.27
1941-03-01,20.43
1941-04-01,20.47
1941-05-01,20.58
1941-06-01,20.61
1941-07-01,20.59
1941-08-01,20.59
1941-09-01,20.6
1941-10-01,20.8
1941-11-01,20.83
1941-12-01,20.77
1942-01-01,20.86
1942-02-01,20.87
1942-03-01,20.84
1942-04-01,20.83
1942-05-01,20.81
1942-06-01,20.83
1942-07-01,20.83
1942-08-01,20.81
1942-09-01,20.8
1942-10-01,20.82
1942-11-01,20.81
1942-12-01,20.87
1943-01-01,20.93
1943-02-01,20.87
1943-03-01,20.83
1943-04-01,20.69
1943-05-01,20.64
1943-06-01,20.6
1943-07-01,20.54
1943-08-01,20.45
1943-09-01,20.36
1943-10-01,20.3
1943-11-01,20.23
1943-12-01,20.14
1944-01-01,20.11
