"Date","M14166USM144SNBR"
1919-07-01,12474
1919-08-01,12633
1919-09-01,12770
1919-10-01,13006
1919-11-01,13158
1919-12-01,13574
1920-01-01,13344
1920-02-01,13517
1920-03-01,13678
1920-04-01,13455
1920-05-01,13490
1920-06-01,13397
1920-07-01,13393
1920-08-01,13310
1920-09-01,13255
1920-10-01,13088
1920-11-01,12799
1920-12-01,13085
1921-01-01,12710
1921-02-01,12672
1921-03-01,12375
1921-04-01,12238
1921-05-01,12266
1921-06-01,11964
1921-07-01,11829
1921-08-01,11959
1921-09-01,11781
1921-10-01,12018
1921-11-01,12152
1921-12-01,12125
1922-01-01,12021
1922-02-01,12189
1922-03-01,12192
1922-04-01,12723
1922-05-01,12916
1922-06-01,13107
1922-07-01,13146
1922-08-01,13035
1922-09-01,13212
1922-10-01,13204
1922-11-01,13075
1922-12-01,13715
1923-01-01,13609
1923-02-01,13621
1923-03-01,13155
1923-04-01,13428
1923-05-01,13525
1923-06-01,13350
1923-07-01,13334
1923-08-01,13239
1923-09-01,13303
1923-10-01,13383
1923-11-01,13317
1923-12-01,13385
1924-01-01,13342
1924-02-01,13252
1924-03-01,13302
1924-04-01,13367
1924-05-01,13489
1924-06-01,13729
1924-07-01,14012
1924-08-01,14226
1924-09-01,14452
1924-10-01,14436
1924-11-01,14770
1924-12-01,14544
1925-01-01,14799
1925-02-01,14916
1925-03-01,14760
1925-04-01,14863
1925-05-01,14977
1925-06-01,15163
1925-07-01,15110
1925-08-01,15364
1925-09-01,15509
1925-10-01,15404
1925-11-01,15304
1925-12-01,15145
1926-01-01,15211
1926-02-01,15320
1926-03-01,15329
1926-04-01,15153
1926-05-01,15577
1926-06-01,15681
1926-07-01,15372
1926-08-01,15493
1926-09-01,15440
1926-10-01,15245
1926-11-01,15326
1926-12-01,14995
1927-01-01,15174
1927-02-01,15335
1927-03-01,15540
1927-04-01,15423
1927-05-01,15903
1927-06-01,15593
1927-07-01,15555
1927-08-01,15699
1927-09-01,15443
1927-10-01,15588
1927-11-01,16132
1927-12-01,15533
1928-01-01,15976
1928-02-01,16084
1928-03-01,16050
1928-04-01,16411
1928-05-01,16226
1928-06-01,15594
1928-07-01,15791
1928-08-01,15519
1928-09-01,15723
1928-10-01,15841
1928-11-01,15946
1928-12-01,16015
1929-01-01,15736
1929-02-01,15924
1929-03-01,15954
1929-04-01,16068
1929-05-01,15788
1929-06-01,15904
1929-07-01,16559
1929-08-01,16052
1929-09-01,16058
1929-10-01,17947
1929-11-01,15255
1929-12-01,16239
1930-01-01,15508
1930-02-01,15842
1930-03-01,16357
1930-04-01,16076
1930-05-01,15521
1930-06-01,15593
1930-07-01,15836
1930-08-01,15588
1930-09-01,15726
1930-10-01,15789
1930-11-01,15880
1930-12-01,15795
1931-01-01,15586
1931-02-01,15843
1931-03-01,15933
1931-04-01,15399
1931-05-01,15083
1931-06-01,15003
1931-07-01,15019
1931-08-01,14743
1931-09-01,14758
1931-10-01,13957
1931-11-01,13731
1931-12-01,13267
1932-01-01,12733
1932-02-01,12716
1932-03-01,12689
1932-04-01,12536
1932-05-01,12303
1932-06-01,12126
1932-07-01,11856
1932-08-01,12013
1932-09-01,12130
1932-10-01,12235
1932-11-01,12551
1932-12-01,12356
1933-01-01,12632
1933-02-01,11550
1933-03-01,10915
1933-04-01,11352
1933-05-01,11977
1933-06-01,11864
1933-07-01,11822
1933-08-01,11923
1933-09-01,12014
1933-10-01,12195
1933-11-01,12386
1933-12-01,12585
1934-01-01,12881
1934-02-01,13436
1934-03-01,13833
1934-04-01,13932
1934-05-01,14017
1934-06-01,14043
