"Date","M1471BUSM027NNBR"
1947-01-01,33.2
1947-02-01,33.4
1947-03-01,33.7
1947-04-01,33.8
1947-05-01,33.9
1947-06-01,34
1947-07-01,34.2
1947-08-01,34.4
1947-09-01,34.7
1947-10-01,35
1947-11-01,35.1
1947-12-01,35.1
1948-01-01,35.5
1948-02-01,35.6
1948-03-01,35.8
1948-04-01,35.8
1948-05-01,35.8
1948-06-01,35.9
1948-07-01,36
1948-08-01,35.9
1948-09-01,35.9
1948-10-01,36
1948-11-01,35.9
1948-12-01,35.7
1949-01-01,36
1949-02-01,36.1
1949-03-01,36.2
1949-04-01,36.3
1949-05-01,36.4
1949-06-01,36.5
1949-07-01,36.5
1949-08-01,36.5
1949-09-01,36.4
1949-10-01,36.4
1949-11-01,36.3
1949-12-01,36.1
1950-01-01,36.4
1950-02-01,36.5
1950-03-01,36.7
1950-04-01,36.8
1950-05-01,36.9
1950-06-01,37
1950-07-01,36.9
1950-08-01,36.7
1950-09-01,36.6
1950-10-01,36.6
1950-11-01,36.5
1950-12-01,36.4
1951-01-01,36.7
1951-02-01,36.6
1951-03-01,36.7
1951-04-01,36.7
1951-05-01,36.7
1951-06-01,36.9
1951-07-01,37.3
1951-08-01,37.5
1951-09-01,37.7
1951-10-01,37.9
1951-11-01,38
1951-12-01,38
1952-01-01,38.4
1952-02-01,38.6
1952-03-01,38.9
1952-04-01,39.1
1952-05-01,39.3
1952-06-01,39.6
1952-07-01,39.9
1952-08-01,40.1
1952-09-01,40.3
1952-10-01,40.6
1952-11-01,40.8
1952-12-01,40.9
1953-01-01,41.4
1953-02-01,41.6
1953-03-01,41.9
1953-04-01,42.1
1953-05-01,42.3
1953-06-01,42.7
1953-07-01,43
1953-08-01,43.2
1953-09-01,43.5
1953-10-01,44
1953-11-01,44.1
1953-12-01,44.2
1954-01-01,44.8
1954-02-01,45.2
1954-03-01,45.6
1954-04-01,46
1954-05-01,46.4
1954-06-01,46.9
1954-07-01,47.5
1954-08-01,47.9
1954-09-01,48
1954-10-01,48.2
1954-11-01,48.1
1954-12-01,48
1955-01-01,48.5
1955-02-01,48.6
1955-03-01,48.8
1955-04-01,48.9
1955-05-01,49
1955-06-01,49.2
1955-07-01,49.4
1955-08-01,49.5
1955-09-01,49.7
1955-10-01,49.9
1955-11-01,49.8
1955-12-01,49.6
1956-01-01,49.8
1956-02-01,49.8
1956-03-01,50.1
1956-04-01,50.3
1956-05-01,50.4
1956-06-01,50.8
1956-07-01,51.2
1956-08-01,51.4
1956-09-01,51.6
1956-10-01,51.8
1956-11-01,51.5
1956-12-01,51.4
1957-01-01,52.3
1957-02-01,52.9
1957-03-01,53.7
1957-04-01,54.2
1957-05-01,54.6
1957-06-01,55.2
1957-07-01,55.6
1957-08-01,55.9
1957-09-01,56.3
1957-10-01,56.7
1957-11-01,56.5
1957-12-01,56.7
1958-01-01,57.2
1958-02-01,59.1
1958-03-01,60.5
1958-04-01,61.7
1958-05-01,62.6
1958-06-01,63.5
1958-07-01,64.4
1958-08-01,64.8
1958-09-01,65
1958-10-01,65
1958-11-01,64.6
1958-12-01,64.6
1959-01-01,65.6
1959-02-01,65.8
1959-03-01,66.2
1959-04-01,66.7
1959-05-01,67
1959-06-01,67.4
1959-07-01,67.5
1959-08-01,67.4
1959-09-01,67.5
1959-10-01,67.4
1959-11-01,66.8
1959-12-01,66.6
1960-01-01,66.8
1960-02-01,66.6
1960-03-01,67
1960-04-01,67.5
1960-05-01,67.8
1960-06-01,68.3
1960-07-01,69.1
1960-08-01,70
1960-09-01,70.7
1960-10-01,71.4
1960-11-01,71.5
1960-12-01,72.1
1961-01-01,73.2
1961-02-01,74.6
1961-03-01,75.5
1961-04-01,76.5
1961-05-01,77.7
1961-06-01,78.6
1961-07-01,79.5
1961-08-01,80.2
1961-09-01,80.9
1961-10-01,81.5
1961-11-01,81.5
1961-12-01,81.8
1962-01-01,83.6
1962-02-01,85.6
1962-03-01,87.7
1962-04-01,89.2
1962-05-01,90
1962-06-01,91.1
1962-07-01,92.2
1962-08-01,92.9
1962-09-01,93.8
1962-10-01,95
1962-11-01,95.5
1962-12-01,96.7
1963-01-01,98.6
1963-02-01,100.1
1963-03-01,101.9
1963-04-01,103.1
1963-05-01,104.3
1963-06-01,105.2
1963-07-01,106.2
1963-08-01,107.5
1963-09-01,108.3
1963-10-01,109.5
1963-11-01,110.2
1963-12-01,111
1964-01-01,113
1964-02-01,114.5
1964-03-01,115.7
1964-04-01,116.7
1964-05-01,118
1964-06-01,119.1
1964-07-01,120
1964-08-01,121.1
1964-09-01,122
1964-10-01,123.4
1964-11-01,124.1
1964-12-01,125.2
1965-01-01,128.3
1965-02-01,130.8
1965-03-01,132.7
1965-04-01,134
1965-05-01,135.4
1965-06-01,136.6
1965-07-01,138.3
1965-08-01,140.2
1965-09-01,141.4
1965-10-01,143.5
1965-11-01,144.3
1965-12-01,145.2
1966-01-01,147.4
1966-02-01,148.7
1966-03-01,150.4
1966-04-01,152.4
1966-05-01,154.2
1966-06-01,154.4
1966-07-01,156.2
1966-08-01,157.4
1966-09-01,157.4
1966-10-01,157.1
1966-11-01,156.1
1966-12-01,156.9
1967-01-01,160.6
1967-02-01,164
1967-03-01,166.7
1967-04-01,168.8
1967-05-01,170.8
1967-06-01,173
1967-07-01,175.2
1967-08-01,177.8
1967-09-01,179
1967-10-01,180.4
1967-11-01,181.3
1967-12-01,182
1968-01-01,183.7
1968-02-01,185.8
1968-03-01,187.6
1968-04-01,187.9
1968-05-01,188.4
