"Date","M1490BUSM157SNBR"
1947-01-01,21
1947-02-01,2.16
1947-03-01,6.6
1947-04-01,8.76
1947-05-01,6.48
1947-06-01,4.32
1947-07-01,1.08
1947-08-01,4.32
1947-09-01,4.32
1947-10-01,-1.08
1947-11-01,4.2
1947-12-01,-2.16
1948-01-01,3.24
1948-02-01,-2.16
1948-03-01,-6.36
1948-04-01,-3.24
1948-05-01,-2.16
1948-06-01,-1.08
1948-07-01,2.16
1948-08-01,1.08
1948-09-01,-1.08
1948-10-01,-1.08
1948-11-01,-3.24
1948-12-01,-3.24
1949-01-01,-3.24
1949-02-01,0
1949-03-01,0
1949-04-01,1.08
1949-05-01,2.16
1949-06-01,-2.16
1949-07-01,-1.08
1949-08-01,-2.16
1949-09-01,-1.08
1949-10-01,0
1949-11-01,1.08
1949-12-01,2.16
1950-01-01,3.24
1950-02-01,6.48
1950-03-01,4.32
1950-04-01,7.44
1950-05-01,5.28
1950-06-01,4.2
1950-07-01,5.28
1950-08-01,4.2
1950-09-01,2.04
1950-10-01,5.16
1950-11-01,2.04
1950-12-01,3.12
1951-01-01,5.16
1951-02-01,4.08
1951-03-01,5.16
1951-04-01,2.04
1951-05-01,4.08
1951-06-01,4.08
1951-07-01,5.04
1951-08-01,5.04
1951-09-01,8.04
1951-10-01,6
1951-11-01,9.96
1951-12-01,6.84
1952-01-01,3.96
1952-02-01,4.92
1952-03-01,1.92
1952-04-01,2.88
1952-05-01,3.84
1952-06-01,4.8
1952-07-01,2.88
1952-08-01,3.84
1952-09-01,6.72
1952-10-01,2.88
1952-11-01,3.84
1952-12-01,2.88
1953-01-01,-0.96
1953-02-01,0.96
1953-03-01,5.64
1953-04-01,2.76
1953-05-01,1.92
1953-06-01,0
1953-07-01,0.96
1953-08-01,0.96
1953-09-01,-0.96
1953-10-01,0.96
1953-11-01,0
1953-12-01,0.96
1954-01-01,1.92
1954-02-01,0.96
1954-03-01,0.96
1954-04-01,-5.52
1954-05-01,10.32
1954-06-01,1.8
1954-07-01,3.72
1954-08-01,3.72
1954-09-01,1.8
1954-10-01,5.52
1954-11-01,5.52
1954-12-01,1.8
1955-01-01,6.36
1955-02-01,8.16
1955-03-01,-2.64
1955-04-01,2.64
1955-05-01,6.24
1955-06-01,-1.8
1955-07-01,3.6
1955-08-01,0
1955-09-01,1.8
1955-10-01,1.8
1955-11-01,-2.64
1955-12-01,2.64
1956-01-01,2.64
1956-02-01,0
1956-03-01,1.8
1956-04-01,2.64
1956-05-01,-1.8
1956-06-01,1.8
1956-07-01,0
1956-08-01,-2.64
1956-09-01,4.44
1956-10-01,0.84
1956-11-01,2.64
1956-12-01,2.64
1957-01-01,0
1957-02-01,-0.84
1957-03-01,0.84
1957-04-01,0
1957-05-01,0.84
1957-06-01,-0.84
1957-07-01,0.84
1957-08-01,0.84
1957-09-01,-2.64
1957-10-01,-2.64
1957-11-01,-1.8
1957-12-01,-3.48
1958-01-01,-3.48
1958-02-01,6.24
1958-03-01,2.64
1958-04-01,4.44
1958-05-01,4.32
1958-06-01,7.8
1958-07-01,0
1958-08-01,6.12
1958-09-01,3.48
1958-10-01,5.16
1958-11-01,6.84
1958-12-01,1.68
1959-01-01,4.2
1959-02-01,3.36
1959-03-01,4.2
1959-04-01,1.68
1959-05-01,4.2
1959-06-01,1.68
1959-07-01,5.88
1959-08-01,-4.2
1959-09-01,-2.52
1959-10-01,-3.36
1959-11-01,-1.68
1959-12-01,-6.72
1960-01-01,-1.68
1960-02-01,-3.36
1960-03-01,-3.36
1960-04-01,-0.84
1960-05-01,-4.32
1960-06-01,-1.68
1960-07-01,2.52
1960-08-01,4.32
1960-09-01,1.68
1960-10-01,0
1960-11-01,-2.52
1960-12-01,2.52
1961-01-01,0.84
1961-02-01,4.2
1961-03-01,2.52
1961-04-01,2.52
1961-05-01,3.36
1961-06-01,2.52
1961-07-01,0
1961-08-01,2.52
1961-09-01,5.04
1961-10-01,3.36
1961-11-01,5.88
1961-12-01,3.36
1962-01-01,0.84
1962-02-01,2.52
1962-03-01,1.68
1962-04-01,2.52
1962-05-01,-1.68
1962-06-01,0.84
1962-07-01,-0.84
1962-08-01,-0.84
1962-09-01,-1.68
1962-10-01,4.92
1962-11-01,4.08
1962-12-01,4.08
1963-01-01,4.92
1963-02-01,4.92
1963-03-01,1.56
1963-04-01,4.08
1963-05-01,3.96
1963-06-01,4.8
1963-07-01,4.8
1963-08-01,1.56
1963-09-01,2.4
1963-10-01,6.36
1963-11-01,7.92
1963-12-01,-2.4
1964-01-01,3.96
1964-02-01,2.4
1964-03-01,2.4
1964-04-01,3.12
1964-05-01,4.68
1964-06-01,3.84
1964-07-01,7.68
1964-08-01,5.4
1964-09-01,5.28
1964-10-01,3.84
1964-11-01,4.56
1964-12-01,1.56
1965-01-01,2.28
1965-02-01,3
1965-03-01,1.44
1965-04-01,3.72
1965-05-01,1.44
1965-06-01,6
1965-07-01,5.16
1965-08-01,5.88
1965-09-01,5.88
1965-10-01,8.76
1965-11-01,3.6
1965-12-01,7.92
1966-01-01,7.92
1966-02-01,5.04
1966-03-01,4.32
1966-04-01,7.8
1966-05-01,0
1966-06-01,1.44
1966-07-01,-4.2
1966-08-01,0.72
1966-09-01,3.48
1966-10-01,-2.16
1966-11-01,0
1966-12-01,1.44
1967-01-01,-0.72
1967-02-01,10.56
1967-03-01,9.72
1967-04-01,-4.8
1967-05-01,13.2
1967-06-01,11.04
1967-07-01,12.24
1967-08-01,7.44
1967-09-01,1.32
1967-10-01,7.32
1967-11-01,5.28
1967-12-01,2.04
1968-01-01,6.6
1968-02-01,2.64
1968-03-01,4.56
1968-04-01,5.88
1968-05-01,11.76
1968-06-01,8.4
1968-07-01,12.84
1968-08-01,5.76
1968-09-01,-5.04
1968-10-01,4.44
1968-11-01,11.4
1968-12-01,6.84
