"Date","MSIALLP"
1967-01-01,789.8
1967-02-01,794.9
1967-03-01,802.4
1967-04-01,802.9
1967-05-01,810.2
1967-06-01,817
1967-07-01,822.8
1967-08-01,829.8
1967-09-01,835
1967-10-01,839.9
1967-11-01,844
1967-12-01,848.7
1968-01-01,852.9
1968-02-01,856
1968-03-01,859.9
1968-04-01,864.2
1968-05-01,869.5
1968-06-01,875.4
1968-07-01,879.9
1968-08-01,885.7
1968-09-01,891.1
1968-10-01,897
1968-11-01,904.9
1968-12-01,911.6
1969-01-01,915.9
1969-02-01,919.4
1969-03-01,923
1969-04-01,925.1
1969-05-01,926.1
1969-06-01,928.9
1969-07-01,930.2
1969-08-01,930.9
1969-09-01,933.7
1969-10-01,935.9
1969-11-01,938.9
1969-12-01,942.3
1970-01-01,946.5
1970-02-01,940.8
1970-03-01,942.4
1970-04-01,944.5
1970-05-01,948.6
1970-06-01,953.3
1970-07-01,958.5
1970-08-01,967.6
1970-09-01,977.2
1970-10-01,984.6
1970-11-01,990.8
1970-12-01,997.7
1971-01-01,1006
1971-02-01,1017
1971-03-01,1027.6
1971-04-01,1037.8
1971-05-01,1049.5
1971-06-01,1058.3
1971-07-01,1067.4
1971-08-01,1074.9
1971-09-01,1084
1971-10-01,1091.4
1971-11-01,1098.5
1971-12-01,1105
1972-01-01,1115.2
1972-02-01,1126.7
1972-03-01,1137.4
1972-04-01,1144.2
1972-05-01,1148.8
1972-06-01,1155.4
1972-07-01,1168.2
1972-08-01,1180.8
1972-09-01,1193.8
1972-10-01,1205
1972-11-01,1214
1972-12-01,1227.1
1973-01-01,1238.4
1973-02-01,1243.2
1973-03-01,1243.9
1973-04-01,1250.2
1973-05-01,1260.8
1973-06-01,1270.3
1973-07-01,1275.1
1973-08-01,1277.7
1973-09-01,1278.2
1973-10-01,1283.3
1973-11-01,1292.6
1973-12-01,1302.4
1974-01-01,1308.1
1974-02-01,1315
1974-03-01,1323.2
1974-04-01,1327
1974-05-01,1329.3
1974-06-01,1334.1
1974-07-01,1339.2
1974-08-01,1343.1
1974-09-01,1348.7
1974-10-01,1356.3
1974-11-01,1363.8
1974-12-01,1368.5
1975-01-01,1372.5
1975-02-01,1382.2
