"Date","MSIM1A"
1967-01-01,203.1
1967-02-01,204.4
1967-03-01,206.5
1967-04-01,205.8
1967-05-01,207.6
1967-06-01,209.2
1967-07-01,210.5
1967-08-01,212.3
1967-09-01,213.5
1967-10-01,214.6
1967-11-01,215.5
1967-12-01,216.5
1968-01-01,217.8
1968-02-01,218.3
1968-03-01,219.2
1968-04-01,220.5
1968-05-01,222.1
1968-06-01,223.8
1968-07-01,225.1
1968-08-01,226.7
1968-09-01,227.7
1968-10-01,229.3
1968-11-01,231.6
1968-12-01,233.3
1969-01-01,234.8
1969-02-01,235.6
1969-03-01,236.3
1969-04-01,237.2
1969-05-01,237.3
1969-06-01,237.8
1969-07-01,238.3
1969-08-01,238.4
1969-09-01,238.8
1969-10-01,239.8
1969-11-01,240.5
1969-12-01,240.9
1970-01-01,243.7
1970-02-01,242.2
1970-03-01,243.1
1970-04-01,244.3
1970-05-01,244.9
1970-06-01,245.2
1970-07-01,245.8
1970-08-01,248.1
1970-09-01,250.3
1970-10-01,251.5
1970-11-01,252.5
1970-12-01,253.4
1971-01-01,254.7
1971-02-01,256.9
1971-03-01,258.5
1971-04-01,259.9
1971-05-01,262.3
1971-06-01,264.1
1971-07-01,265.7
1971-08-01,266.5
1971-09-01,267.6
1971-10-01,268.4
1971-11-01,269.1
1971-12-01,269.8
1972-01-01,271.9
1972-02-01,274.5
1972-03-01,276.9
1972-04-01,278.4
1972-05-01,278.7
1972-06-01,279.6
1972-07-01,282.2
1972-08-01,284.7
1972-09-01,287.3
1972-10-01,289.5
1972-11-01,291.1
1972-12-01,294.5
1973-01-01,297.1
1973-02-01,297.9
1973-03-01,297.4
1973-04-01,298.6
1973-05-01,301.2
1973-06-01,303.3
1973-07-01,304.3
1973-08-01,304.6
1973-09-01,304.7
1973-10-01,306.1
1973-11-01,308.4
1973-12-01,310.6
1974-01-01,311.7
1974-02-01,313.5
1974-03-01,315.1
1974-04-01,315.7
1974-05-01,316.2
1974-06-01,317.2
1974-07-01,318.2
1974-08-01,319.2
1974-09-01,320.3
1974-10-01,321.8
1974-11-01,323.4
1974-12-01,324
1975-01-01,323.6
1975-02-01,324.9
1975-03-01,326.5
1975-04-01,326.2
1975-05-01,329.8
1975-06-01,333.6
1975-07-01,335
1975-08-01,335.6
1975-09-01,337.4
1975-10-01,337
1975-11-01,338.6
1975-12-01,338.9
1976-01-01,340.5
1976-02-01,343.2
1976-03-01,345.4
1976-04-01,347.6
1976-05-01,349
1976-06-01,349.3
1976-07-01,350.4
1976-08-01,352.4
1976-09-01,353
1976-10-01,355.8
1976-11-01,357.5
1976-12-01,360.5
1977-01-01,362.8
1977-02-01,366.6
1977-03-01,369.4
1977-04-01,371.8
1977-05-01,373.1
1977-06-01,374.9
1977-07-01,376.5
1977-08-01,378.9
1977-09-01,381.4
1977-10-01,383.6
1977-11-01,386.1
1977-12-01,388.7
1978-01-01,392.8
1978-02-01,393.8
1978-03-01,395.7
1978-04-01,399.1
1978-05-01,404.8
1978-06-01,407.1
1978-07-01,408
1978-08-01,410.3
1978-09-01,413.4
1978-10-01,414.6
1978-11-01,416.4
1978-12-01,417.8
1979-01-01,418.7
1979-02-01,419.8
1979-03-01,422.2
1979-04-01,428.2
1979-05-01,429.8
1979-06-01,433.8
1979-07-01,438
1979-08-01,439.6
1979-09-01,440
1979-10-01,441.8
1979-11-01,441.8
1979-12-01,442.8
1980-01-01,447.4
1980-02-01,452.1
1980-03-01,450.1
1980-04-01,444.4
1980-05-01,445.6
1980-06-01,450.1
1980-07-01,455.2
1980-08-01,460.8
1980-09-01,466.9
1980-10-01,471.2
1980-11-01,472.5
1980-12-01,469.9
1981-01-01,469
1981-02-01,470.1
1981-03-01,473
1981-04-01,480.5
1981-05-01,477.2
1981-06-01,477.3
1981-07-01,478.8
1981-08-01,478.5
1981-09-01,478
1981-10-01,479.3
1981-11-01,481.8
1981-12-01,487.2
1982-01-01,493.2
1982-02-01,492
1982-03-01,492.3
1982-04-01,496.3
1982-05-01,496
1982-06-01,496.5
1982-07-01,496.9
1982-08-01,500.1
1982-09-01,505.5
1982-10-01,512.6
1982-11-01,519.2
1982-12-01,522.6
1983-01-01,521.9
1983-02-01,526.4
1983-03-01,531.7
1983-04-01,533
1983-05-01,539.6
1983-06-01,543
1983-07-01,546.3
1983-08-01,548.8
1983-09-01,550.9
1983-10-01,554.5
1983-11-01,556
1983-12-01,558.2
1984-01-01,562
1984-02-01,564.3
1984-03-01,567.6
1984-04-01,571
1984-05-01,572.6
1984-06-01,575.9
1984-07-01,576.6
1984-08-01,576.6
1984-09-01,578.4
1984-10-01,578.6
1984-11-01,582.2
1984-12-01,585.8
1985-01-01,590.7
1985-02-01,596.9
