"Date","MSIM2"
1967-01-01,765.1
1967-02-01,770
1967-03-01,777.3
1967-04-01,777.8
1967-05-01,784.8
1967-06-01,791.4
1967-07-01,797.1
1967-08-01,803.9
1967-09-01,808.9
1967-10-01,813.6
1967-11-01,817.5
1967-12-01,822.1
1968-01-01,826.2
1968-02-01,829.2
1968-03-01,833
1968-04-01,837.2
1968-05-01,842.3
1968-06-01,848
1968-07-01,852.3
1968-08-01,858
1968-09-01,863.2
1968-10-01,868.9
1968-11-01,876.6
1968-12-01,883.1
1969-01-01,887.2
1969-02-01,890.6
1969-03-01,894.1
1969-04-01,896.2
1969-05-01,897.1
1969-06-01,899.8
1969-07-01,901.1
1969-08-01,901.7
1969-09-01,904.4
1969-10-01,906.6
1969-11-01,909.5
1969-12-01,912.8
1970-01-01,916.9
1970-02-01,911.3
1970-03-01,912.9
1970-04-01,915
1970-05-01,918.9
1970-06-01,923.5
1970-07-01,928.5
1970-08-01,937.3
1970-09-01,946.6
1970-10-01,953.7
1970-11-01,959.7
1970-12-01,966.4
1971-01-01,974.5
1971-02-01,985.2
1971-03-01,995.4
1971-04-01,1005.3
1971-05-01,1016.6
1971-06-01,1025.2
1971-07-01,1033.9
1971-08-01,1041.2
1971-09-01,1050.1
1971-10-01,1057.2
1971-11-01,1064
1971-12-01,1070.3
1972-01-01,1080.3
1972-02-01,1091.4
1972-03-01,1101.8
1972-04-01,1108.4
1972-05-01,1112.8
1972-06-01,1119.2
1972-07-01,1131.6
1972-08-01,1143.8
1972-09-01,1156.4
1972-10-01,1167.3
1972-11-01,1176
1972-12-01,1188.6
1973-01-01,1199.6
1973-02-01,1204.3
1973-03-01,1205
1973-04-01,1211
1973-05-01,1221.3
1973-06-01,1230.5
1973-07-01,1235.1
1973-08-01,1237.7
1973-09-01,1238.2
1973-10-01,1243.1
1973-11-01,1252.1
1973-12-01,1261.6
1974-01-01,1267.2
1974-02-01,1273.8
1974-03-01,1281.7
1974-04-01,1285.4
1974-05-01,1287.6
1974-06-01,1292.2
