"Date","MYAGM3USM052N"
1959-01-01,2.92e+11
1959-02-01,2.899e+11
1959-03-01,2.901e+11
1959-04-01,2.925e+11
1959-05-01,2.925e+11
1959-06-01,2.948e+11
1959-07-01,2.967e+11
1959-08-01,2.97e+11
1959-09-01,2.982e+11
1959-10-01,2.989e+11
1959-11-01,2.997e+11
1959-12-01,3.024e+11
1960-01-01,3.034e+11
1960-02-01,3.004e+11
1960-03-01,3.002e+11
1960-04-01,3.024e+11
1960-05-01,3.01e+11
1960-06-01,3.031e+11
1960-07-01,3.058e+11
1960-08-01,3.077e+11
1960-09-01,3.104e+11
1960-10-01,3.125e+11
1960-11-01,3.143e+11
1960-12-01,3.18e+11
1961-01-01,3.205e+11
1961-02-01,3.199e+11
1961-03-01,3.208e+11
1961-04-01,3.242e+11
1961-05-01,3.245e+11
1961-06-01,3.275e+11
1961-07-01,3.3e+11
1961-08-01,3.31e+11
1961-09-01,3.34e+11
1961-10-01,3.368e+11
1961-11-01,3.393e+11
1961-12-01,3.437e+11
1962-01-01,3.465e+11
1962-02-01,3.462e+11
1962-03-01,3.484e+11
1962-04-01,3.527e+11
1962-05-01,3.521e+11
1962-06-01,3.55e+11
1962-07-01,3.574e+11
1962-08-01,3.583e+11
1962-09-01,3.615e+11
1962-10-01,3.653e+11
1962-11-01,3.683e+11
1962-12-01,3.74e+11
1963-01-01,3.779e+11
1963-02-01,3.773e+11
1963-03-01,3.794e+11
1963-04-01,3.839e+11
1963-05-01,3.839e+11
1963-06-01,3.874e+11
1963-07-01,3.909e+11
1963-08-01,3.925e+11
1963-09-01,3.961e+11
1963-10-01,4.001e+11
1963-11-01,4.041e+11
1963-12-01,4.087e+11
1964-01-01,4.126e+11
1964-02-01,4.114e+11
1964-03-01,4.129e+11
1964-04-01,4.168e+11
1964-05-01,4.164e+11
1964-06-01,4.208e+11
1964-07-01,4.249e+11
1964-08-01,4.27e+11
1964-09-01,4.317e+11
1964-10-01,4.362e+11
1964-11-01,4.396e+11
1964-12-01,4.455e+11
1965-01-01,4.505e+11
1965-02-01,4.489e+11
1965-03-01,4.512e+11
1965-04-01,4.557e+11
1965-05-01,4.536e+11
1965-06-01,4.585e+11
1965-07-01,4.626e+11
1965-08-01,4.645e+11
1965-09-01,4.698e+11
1965-10-01,4.754e+11
1965-11-01,4.787e+11
1965-12-01,4.855e+11
1966-01-01,4.901e+11
1966-02-01,4.871e+11
1966-03-01,4.898e+11
1966-04-01,4.953e+11
1966-05-01,4.922e+11
1966-06-01,4.957e+11
1966-07-01,4.972e+11
1966-08-01,4.975e+11
1966-09-01,5.012e+11
1966-10-01,5.02e+11
1966-11-01,5.024e+11
1966-12-01,5.086e+11
1967-01-01,5.137e+11
1967-02-01,5.13e+11
1967-03-01,5.186e+11
1967-04-01,5.238e+11
1967-05-01,5.245e+11
1967-06-01,5.32e+11
1967-07-01,5.373e+11
1967-08-01,5.409e+11
1967-09-01,5.462e+11
1967-10-01,5.508e+11
1967-11-01,5.541e+11
1967-12-01,5.609e+11
1968-01-01,5.647e+11
1968-02-01,5.614e+11
1968-03-01,5.654e+11
1968-04-01,5.705e+11
1968-05-01,5.693e+11
1968-06-01,5.754e+11
1968-07-01,5.807e+11
1968-08-01,5.845e+11
1968-09-01,5.902e+11
1968-10-01,5.964e+11
1968-11-01,6.018e+11
1968-12-01,6.1e+11
1969-01-01,6.121e+11
1969-02-01,6.062e+11
1969-03-01,6.09e+11
1969-04-01,6.132e+11
1969-05-01,6.089e+11
1969-06-01,6.12e+11
1969-07-01,6.107e+11
1969-08-01,6.066e+11
1969-09-01,6.08e+11
1969-10-01,6.093e+11
1969-11-01,6.13e+11
1969-12-01,6.182e+11
1970-01-01,6.183e+11
1970-02-01,6.103e+11
1970-03-01,6.157e+11
1970-04-01,6.242e+11
1970-05-01,6.238e+11
1970-06-01,6.29e+11
1970-07-01,6.371e+11
1970-08-01,6.436e+11
1970-09-01,6.527e+11
1970-10-01,6.605e+11
1970-11-01,6.664e+11
1970-12-01,6.782e+11
1971-01-01,6.884e+11
1971-02-01,6.927e+11
1971-03-01,7.063e+11
1971-04-01,7.189e+11
1971-05-01,7.227e+11
1971-06-01,7.321e+11
1971-07-01,7.398e+11
1971-08-01,7.431e+11
1971-09-01,7.5e+11
1971-10-01,7.583e+11
1971-11-01,7.649e+11
1971-12-01,7.766e+11
1972-01-01,7.861e+11
1972-02-01,7.892e+11
1972-03-01,8.005e+11
1972-04-01,8.132e+11
1972-05-01,8.154e+11
1972-06-01,8.27e+11
1972-07-01,8.378e+11
1972-08-01,8.461e+11
1972-09-01,8.548e+11
1972-10-01,8.636e+11
1972-11-01,8.719e+11
1972-12-01,8.862e+11
1973-01-01,8.978e+11
1973-02-01,9.017e+11
1973-03-01,9.147e+11
1973-04-01,9.278e+11
1973-05-01,9.316e+11
1973-06-01,9.435e+11
1973-07-01,9.532e+11
1973-08-01,9.595e+11
1973-09-01,9.65e+11
1973-10-01,9.702e+11
1973-11-01,9.738e+11
1973-12-01,9.852e+11
1974-01-01,9.946e+11
1974-02-01,9.972e+11
1974-03-01,1.01e+12
1974-04-01,1.0256e+12
1974-05-01,1.0285e+12
1974-06-01,1.0404e+12
1974-07-01,1.0473e+12
1974-08-01,1.0496e+12
1974-09-01,1.0526e+12
1974-10-01,1.0572e+12
1974-11-01,1.0605e+12
1974-12-01,1.0708e+12
1975-01-01,1.0768e+12
1975-02-01,1.0763e+12
1975-03-01,1.0887e+12
1975-04-01,1.1008e+12
1975-05-01,1.105e+12
1975-06-01,1.1212e+12
1975-07-01,1.1319e+12
1975-08-01,1.1355e+12
1975-09-01,1.1445e+12
1975-10-01,1.1518e+12
1975-11-01,1.1616e+12
1975-12-01,1.1733e+12
1976-01-01,1.1832e+12
1976-02-01,1.1867e+12
1976-03-01,1.2021e+12
1976-04-01,1.2217e+12
1976-05-01,1.2266e+12
1976-06-01,1.2379e+12
1976-07-01,1.2499e+12
1976-08-01,1.2586e+12
1976-09-01,1.2668e+12
1976-10-01,1.2804e+12
1976-11-01,1.2919e+12
1976-12-01,1.3136e+12
1977-01-01,1.3246e+12
1977-02-01,1.3276e+12
1977-03-01,1.3452e+12
1977-04-01,1.3662e+12
1977-05-01,1.3712e+12
1977-06-01,1.3882e+12
1977-07-01,1.4052e+12
1977-08-01,1.414e+12
1977-09-01,1.4269e+12
1977-10-01,1.4428e+12
1977-11-01,1.4564e+12
1977-12-01,1.4762e+12
1978-01-01,1.4889e+12
1978-02-01,1.4898e+12
1978-03-01,1.5097e+12
1978-04-01,1.5331e+12
1978-05-01,1.5387e+12
1978-06-01,1.5537e+12
1978-07-01,1.5712e+12
1978-08-01,1.5819e+12
1978-09-01,1.597e+12
1978-10-01,1.6129e+12
1978-11-01,1.631e+12
1978-12-01,1.6526e+12
1979-01-01,1.6606e+12
1979-02-01,1.6618e+12
1979-03-01,1.6805e+12
1979-04-01,1.7037e+12
1979-05-01,1.7037e+12
1979-06-01,1.7251e+12
1979-07-01,1.7466e+12
1979-08-01,1.7618e+12
1979-09-01,1.7836e+12
1979-10-01,1.7984e+12
1979-11-01,1.8007e+12
1979-12-01,1.8152e+12
1980-01-01,1.8264e+12
1980-02-01,1.8354e+12
1980-03-01,1.8485e+12
1980-04-01,1.856e+12
1980-05-01,1.8584e+12
1980-06-01,1.8803e+12
1980-07-01,1.9063e+12
1980-08-01,1.9239e+12
1980-09-01,1.9355e+12
1980-10-01,1.9567e+12
1980-11-01,1.9797e+12
1980-12-01,2.0008e+12
1981-01-01,2.0235e+12
1981-02-01,2.0331e+12
1981-03-01,2.0554e+12
1981-04-01,2.0876e+12
1981-05-01,2.0935e+12
1981-06-01,2.112e+12
1981-07-01,2.1401e+12
1981-08-01,2.1621e+12
1981-09-01,2.1817e+12
1981-10-01,2.2095e+12
1981-11-01,2.233e+12
1981-12-01,2.259e+12
1982-01-01,2.2766e+12
1982-02-01,2.2764e+12
1982-03-01,2.2988e+12
1982-04-01,2.3281e+12
1982-05-01,2.3329e+12
1982-06-01,2.353e+12
1982-07-01,2.3735e+12
1982-08-01,2.4019e+12
1982-09-01,2.4165e+12
1982-10-01,2.4418e+12
1982-11-01,2.4559e+12
1982-12-01,2.4691e+12
1983-01-01,2.4923e+12
1983-02-01,2.5075e+12
1983-03-01,2.5293e+12
1983-04-01,2.5557e+12
1983-05-01,2.5598e+12
1983-06-01,2.5798e+12
1983-07-01,2.5976e+12
1983-08-01,2.6108e+12
1983-09-01,2.626e+12
1983-10-01,2.6494e+12
1983-11-01,2.6811e+12
1983-12-01,2.7085e+12
1984-01-01,2.7214e+12
1984-02-01,2.7332e+12
1984-03-01,2.7666e+12
1984-04-01,2.8021e+12
1984-05-01,2.8178e+12
1984-06-01,2.8458e+12
1984-07-01,2.8707e+12
1984-08-01,2.8858e+12
1984-09-01,2.9056e+12
1984-10-01,2.9323e+12
1984-11-01,2.9659e+12
1984-12-01,3.0046e+12
1985-01-01,3.0265e+12
1985-02-01,3.0317e+12
1985-03-01,3.0516e+12
1985-04-01,3.0625e+12
1985-05-01,3.067e+12
1985-06-01,3.1e+12
1985-07-01,3.1119e+12
1985-08-01,3.1299e+12
1985-09-01,3.1485e+12
1985-10-01,3.1669e+12
1985-11-01,3.1897e+12
1985-12-01,3.2216e+12
1986-01-01,3.243e+12
1986-02-01,3.2418e+12
1986-03-01,3.2728e+12
1986-04-01,3.3099e+12
1986-05-01,3.3184e+12
1986-06-01,3.3488e+12
1986-07-01,3.3812e+12
1986-08-01,3.4073e+12
1986-09-01,3.4322e+12
1986-10-01,3.4537e+12
1986-11-01,3.4749e+12
1986-12-01,3.5133e+12
1987-01-01,3.536e+12
1987-02-01,3.5241e+12
1987-03-01,3.5384e+12
1987-04-01,3.5681e+12
1987-05-01,3.5651e+12
1987-06-01,3.588e+12
1987-07-01,3.5998e+12
1987-08-01,3.6211e+12
1987-09-01,3.6398e+12
1987-10-01,3.6656e+12
1987-11-01,3.6891e+12
1987-12-01,3.6987e+12
1988-01-01,3.7199e+12
1988-02-01,3.728e+12
1988-03-01,3.7597e+12
1988-04-01,3.796e+12
1988-05-01,3.7985e+12
1988-06-01,3.8278e+12
1988-07-01,3.8515e+12
1988-08-01,3.8649e+12
1988-09-01,3.8723e+12
1988-10-01,3.8884e+12
1988-11-01,3.9174e+12
1988-12-01,3.9411e+12
1989-01-01,3.9443e+12
1989-02-01,3.9328e+12
1989-03-01,3.9622e+12
1989-04-01,3.98e+12
1989-05-01,3.9581e+12
1989-06-01,3.9875e+12
1989-07-01,4.0166e+12
1989-08-01,4.0273e+12
1989-09-01,4.0297e+12
1989-10-01,4.0436e+12
1989-11-01,4.0714e+12
1989-12-01,4.0895e+12
1990-01-01,4.0917e+12
1990-02-01,4.0898e+12
1990-03-01,4.1028e+12
1990-04-01,4.1175e+12
1990-05-01,4.0934e+12
1990-06-01,4.1113e+12
1990-07-01,4.1252e+12
1990-08-01,4.1454e+12
1990-09-01,4.1471e+12
1990-10-01,4.1498e+12
1990-11-01,4.1568e+12
1990-12-01,4.1661e+12
1991-01-01,4.1779e+12
1991-02-01,4.191e+12
1991-03-01,4.2099e+12
1991-04-01,4.2209e+12
1991-05-01,4.1959e+12
1991-06-01,4.2052e+12
1991-07-01,4.197e+12
1991-08-01,4.1971e+12
1991-09-01,4.1828e+12
1991-10-01,4.1871e+12
1991-11-01,4.2097e+12
1991-12-01,4.2228e+12
1992-01-01,4.2181e+12
1992-02-01,4.2343e+12
1992-03-01,4.2416e+12
1992-04-01,4.2401e+12
1992-05-01,4.2111e+12
1992-06-01,4.2114e+12
