"Date","MZMREAL"
1959-01-01,947.6
1959-02-01,951.7
1959-03-01,957.5
1959-04-01,959.6
1959-05-01,964.5
1959-06-01,968.4
1959-07-01,971.2
1959-08-01,974
1959-09-01,972
1959-10-01,968.3
1959-11-01,972.4
1959-12-01,973.8
1960-01-01,976.2
1960-02-01,975.5
1960-03-01,978.2
1960-04-01,976
1960-05-01,977.7
1960-06-01,980.1
1960-07-01,987.1
1960-08-01,993.6
1960-09-01,998
1960-10-01,996.3
1960-11-01,1001.3
1960-12-01,1006
1961-01-01,1009.7
1961-02-01,1016.8
1961-03-01,1022.8
1961-04-01,1028.2
1961-05-01,1032.8
1961-06-01,1038.5
1961-07-01,1039.1
1961-08-01,1044.1
1961-09-01,1047.7
1961-10-01,1052.7
1961-11-01,1062.4
1961-12-01,1068.6
1962-01-01,1071.6
1962-02-01,1074.7
1962-03-01,1079.5
1962-04-01,1083.7
1962-05-01,1089
1962-06-01,1094.7
1962-07-01,1098.3
1962-08-01,1101.7
1962-09-01,1101.6
1962-10-01,1109.3
1962-11-01,1119.2
1962-12-01,1127.7
1963-01-01,1132.1
1963-02-01,1138.5
1963-03-01,1144.9
1963-04-01,1152.6
1963-05-01,1159.3
1963-06-01,1161.7
1963-07-01,1166.2
1963-08-01,1169.4
1963-09-01,1176.4
1963-10-01,1180.2
1963-11-01,1189.7
1963-12-01,1190.7
1964-01-01,1193.6
1964-02-01,1201.9
1964-03-01,1206.9
1964-04-01,1212
1964-05-01,1218.2
1964-06-01,1224.8
1964-07-01,1232.4
1964-08-01,1240.6
1964-09-01,1249
1964-10-01,1253.5
1964-11-01,1259.5
1964-12-01,1265.6
1965-01-01,1271.1
1965-02-01,1277.8
1965-03-01,1284.3
1965-04-01,1287.4
1965-05-01,1287.5
1965-06-01,1290.4
1965-07-01,1298.6
1965-08-01,1307.8
1965-09-01,1314.7
1965-10-01,1321.6
1965-11-01,1327.6
1965-12-01,1333.4
1966-01-01,1338.5
1966-02-01,1333.9
1966-03-01,1331.9
1966-04-01,1325.6
1966-05-01,1318.4
1966-06-01,1316.6
1966-07-01,1308.5
1966-08-01,1298.9
1966-09-01,1297.7
1966-10-01,1288.6
1966-11-01,1289.2
1966-12-01,1291.6
1967-01-01,1290.3
1967-02-01,1290.3
1967-03-01,1299.4
1967-04-01,1297
1967-05-01,1306.3
1967-06-01,1307.2
1967-07-01,1310.2
1967-08-01,1314.9
1967-09-01,1317.6
1967-10-01,1318.4
1967-11-01,1315
1967-12-01,1314.7
1968-01-01,1312.6
1968-02-01,1310.5
1968-03-01,1311.4
1968-04-01,1310.5
1968-05-01,1311.3
1968-06-01,1309.5
1968-07-01,1304
1968-08-01,1306
1968-09-01,1308.5
