"Date","NOM1M2N"
1959-01-01,147.7
1959-02-01,148.4
1959-03-01,149.5
1959-04-01,150.5
1959-05-01,151.5
1959-06-01,153.1
1959-07-01,154.2
1959-08-01,154.8
1959-09-01,155.8
1959-10-01,156.2
1959-11-01,156
1959-12-01,157
1960-01-01,158.2
1960-02-01,158.7
1960-03-01,159.7
1960-04-01,160.6
1960-05-01,161.3
1960-06-01,163
1960-07-01,164.6
1960-08-01,165.9
1960-09-01,167.3
1960-10-01,168.7
1960-11-01,169.3
1960-12-01,170.8
1961-01-01,173
1961-02-01,175.1
1961-03-01,176.6
1961-04-01,177.9
1961-05-01,179.5
1961-06-01,181.6
1961-07-01,183.4
1961-08-01,184.4
1961-09-01,185.7
1961-10-01,187.1
1961-11-01,187.8
1961-12-01,189.3
1962-01-01,192.3
1962-02-01,194.7
1962-03-01,197.4
1962-04-01,199.3
1962-05-01,200.5
1962-06-01,202.8
1962-07-01,205.1
1962-08-01,206.5
1962-09-01,208.5
1962-10-01,210.6
1962-11-01,211.7
1962-12-01,213.9
1963-01-01,217
1963-02-01,219.4
1963-03-01,221.9
1963-04-01,223.8
1963-05-01,225.5
1963-06-01,228.1
1963-07-01,230.4
1963-08-01,232
1963-09-01,233.8
1963-10-01,235.9
1963-11-01,237.1
1963-12-01,238.9
1964-01-01,241.7
1964-02-01,243.7
1964-03-01,245.8
1964-04-01,247.2
1964-05-01,248.6
1964-06-01,251.4
1964-07-01,253.8
1964-08-01,255.6
1964-09-01,257.9
1964-10-01,260.2
1964-11-01,261.4
1964-12-01,263.5
1965-01-01,267.1
1965-02-01,269.8
1965-03-01,272.3
1965-04-01,273.7
1965-05-01,275
1965-06-01,277.8
1965-07-01,280.3
1965-08-01,282
1965-09-01,284.5
1965-10-01,287.2
1965-11-01,288.4
1965-12-01,290.5
1966-01-01,293.2
1966-02-01,295.1
1966-03-01,297.2
1966-04-01,297.7
1966-05-01,298.2
1966-06-01,299.6
1966-07-01,301.1
1966-08-01,301.8
1966-09-01,303.5
1966-10-01,305.3
1966-11-01,305.3
1966-12-01,306.8
1967-01-01,309.8
1967-02-01,311.9
1967-03-01,315.2
1967-04-01,318.2
1967-05-01,321.1
1967-06-01,325.3
1967-07-01,329
1967-08-01,331.4
1967-09-01,334.4
1967-10-01,337.4
1967-11-01,337.8
1967-12-01,339.6
1968-01-01,342.7
1968-02-01,345.1
1968-03-01,348.1
1968-04-01,349.6
1968-05-01,350.9
1968-06-01,354
1968-07-01,356.4
1968-08-01,358.1
1968-09-01,361.2
1968-10-01,364.3
1968-11-01,364.9
1968-12-01,366.8
1969-01-01,369.7
1969-02-01,371.8
1969-03-01,375
1969-04-01,375.9
1969-05-01,376.1
1969-06-01,378.5
1969-07-01,379.4
1969-08-01,379
1969-09-01,380.2
1969-10-01,380.8
1969-11-01,379.8
1969-12-01,380.8
1970-01-01,381.2
1970-02-01,381.4
1970-03-01,383.8
1970-04-01,384.8
1970-05-01,386.6
1970-06-01,390.6
1970-07-01,393.2
1970-08-01,395
1970-09-01,397.9
1970-10-01,401.7
1970-11-01,403.7
1970-12-01,407.8
1971-01-01,415.1
1971-02-01,423.7
1971-03-01,433.7
1971-04-01,442.1
1971-05-01,447.4
1971-06-01,453
1971-07-01,457.3
1971-08-01,460.2
1971-09-01,464.3
1971-10-01,469
1971-11-01,472.4
1971-12-01,476.7
1972-01-01,485
1972-02-01,493.3
1972-03-01,502.1
1972-04-01,506.9
1972-05-01,510.4
1972-06-01,517
1972-07-01,523.8
1972-08-01,528.3
1972-09-01,533.3
1972-10-01,539.4
1972-11-01,542.5
1972-12-01,547
1973-01-01,555.8
1973-02-01,561.8
1973-03-01,566.8
1973-04-01,571.4
1973-05-01,575
1973-06-01,580.8
1973-07-01,582.6
1973-08-01,581.8
1973-09-01,579.5
1973-10-01,581.1
1973-11-01,582.7
1973-12-01,586.3
1974-01-01,592.9
1974-02-01,598.6
1974-03-01,606.5
1974-04-01,610.1
1974-05-01,610.1
1974-06-01,613.5
1974-07-01,615.9
1974-08-01,614.8
1974-09-01,615
1974-10-01,618.6
1974-11-01,619.7
1974-12-01,621.7
1975-01-01,629.5
1975-02-01,638.8
1975-03-01,651.6
1975-04-01,663.4
1975-05-01,671.8
1975-06-01,684.6
1975-07-01,695.3
1975-08-01,699.6
1975-09-01,704.1
1975-10-01,710.6
1975-11-01,714.8
1975-12-01,722.5
1976-01-01,735.1
1976-02-01,748.9
1976-03-01,760
1976-04-01,770.8
1976-05-01,779
1976-06-01,785.2
1976-07-01,793.2
1976-08-01,800.2
1976-09-01,809.9
1976-10-01,822.2
1976-11-01,829.3
1976-12-01,839
1977-01-01,854
1977-02-01,865
1977-03-01,877.1
1977-04-01,888
1977-05-01,893.9
1977-06-01,902.1
1977-07-01,910.7
1977-08-01,915.1
1977-09-01,921
1977-10-01,928
1977-11-01,928.9
1977-12-01,933.1
1978-01-01,943
1978-02-01,949
1978-03-01,957.4
1978-04-01,964.1
1978-05-01,966.6
1978-06-01,973.8
1978-07-01,980.6
1978-08-01,984
1978-09-01,992.1
