"Date","OCM3A"
1967-01-01,0.0224
1967-02-01,0.0204
1967-03-01,0.0201
1967-04-01,0.0174
1967-05-01,0.0174
1967-06-01,0.0194
1967-07-01,0.0186
1967-08-01,0.0191
1967-09-01,0.0192
1967-10-01,0.0207
1967-11-01,0.0233
1967-12-01,0.0246
1968-01-01,0.0223
1968-02-01,0.0213
1968-03-01,0.0245
1968-04-01,0.0238
1968-05-01,0.027
1968-06-01,0.0274
1968-07-01,0.0247
1968-08-01,0.023
1968-09-01,0.0226
1968-10-01,0.0251
1968-11-01,0.0271
1968-12-01,0.0286
1969-01-01,0.0304
1969-02-01,0.0337
1969-03-01,0.0359
1969-04-01,0.0355
1969-05-01,0.0411
1969-06-01,0.0492
1969-07-01,0.048
1969-08-01,0.047
1969-09-01,0.0491
1969-10-01,0.0432
1969-11-01,0.0456
1969-12-01,0.0489
1970-01-01,0.0429
1970-02-01,0.0397
1970-03-01,0.037
1970-04-01,0.0344
1970-05-01,0.0367
1970-06-01,0.0396
1970-07-01,0.0363
1970-08-01,0.034
1970-09-01,0.0339
1970-10-01,0.0337
1970-11-01,0.0343
1970-12-01,0.0331
1971-01-01,0.0312
1971-02-01,0.0297
1971-03-01,0.0304
1971-04-01,0.0302
1971-05-01,0.0309
1971-06-01,0.0314
1971-07-01,0.0312
1971-08-01,0.037
1971-09-01,0.0359
1971-10-01,0.0297
1971-11-01,0.0294
1971-12-01,0.0295
1972-01-01,0.0291
1972-02-01,0.0292
1972-03-01,0.0291
1972-04-01,0.0289
1972-05-01,0.029
1972-06-01,0.0286
1972-07-01,0.0287
1972-08-01,0.0284
1972-09-01,0.0276
1972-10-01,0.0274
1972-11-01,0.027
1972-12-01,0.0266
1973-01-01,0.0262
1973-02-01,0.0399
1973-03-01,0.0369
1973-04-01,0.0385
1973-05-01,0.0356
1973-06-01,0.0367
1973-07-01,0.0437
1973-08-01,0.0486
1973-09-01,0.047
1973-10-01,0.0435
1973-11-01,0.0403
1973-12-01,0.0454
1974-01-01,0.0382
1974-02-01,0.0339
1974-03-01,0.0369
1974-04-01,0.0434
1974-05-01,0.0493
1974-06-01,0.0516
1974-07-01,0.0586
1974-08-01,0.0592
1974-09-01,0.0548
1974-10-01,0.0462
1974-11-01,0.0417
1974-12-01,0.0427
1975-01-01,0.0409
1975-02-01,0.041
1975-03-01,0.0401
1975-04-01,0.0404
1975-05-01,0.0414
1975-06-01,0.041
1975-07-01,0.0398
1975-08-01,0.0397
1975-09-01,0.0396
1975-10-01,0.0401
1975-11-01,0.0401
1975-12-01,0.0403
1976-01-01,0.0402
1976-02-01,0.0391
1976-03-01,0.0383
1976-04-01,0.0374
1976-05-01,0.0365
1976-06-01,0.0365
1976-07-01,0.0364
1976-08-01,0.0355
1976-09-01,0.0341
1976-10-01,0.0336
1976-11-01,0.0334
1976-12-01,0.0331
1977-01-01,0.0327
1977-02-01,0.0329
1977-03-01,0.0329
1977-04-01,0.0327
1977-05-01,0.0317
1977-06-01,0.0311
1977-07-01,0.0308
1977-08-01,0.0301
1977-09-01,0.0297
1977-10-01,0.0298
1977-11-01,0.0302
1977-12-01,0.0304
1978-01-01,0.0313
1978-02-01,0.0315
1978-03-01,0.0319
1978-04-01,0.0321
1978-05-01,0.0328
1978-06-01,0.0315
1978-07-01,0.0322
1978-08-01,0.0312
1978-09-01,0.0332
1978-10-01,0.0379
1978-11-01,0.0438
1978-12-01,0.0445
1979-01-01,0.0425
1979-02-01,0.0389
1979-03-01,0.0379
1979-04-01,0.0374
1979-05-01,0.038
1979-06-01,0.0371
1979-07-01,0.0384
1979-08-01,0.0415
1979-09-01,0.0458
1979-10-01,0.0534
1979-11-01,0.0538
1979-12-01,0.0519
1980-01-01,0.0503
1980-02-01,0.0547
1980-03-01,0.0661
1980-04-01,0.0637
1980-05-01,0.0538
1980-06-01,0.0487
1980-07-01,0.0473
1980-08-01,0.0463
1980-09-01,0.0446
1980-10-01,0.0472
1980-11-01,0.0579
1980-12-01,0.0766
1981-01-01,0.0732
1981-02-01,0.0582
1981-03-01,0.0515
1981-04-01,0.0541
1981-05-01,0.0659
1981-06-01,0.0679
1981-07-01,0.0708
1981-08-01,0.0628
1981-09-01,0.0603
1981-10-01,0.0565
1981-11-01,0.0545
1981-12-01,0.0606
1982-01-01,0.0591
1982-02-01,0.0535
1982-03-01,0.0544
1982-04-01,0.0539
1982-05-01,0.0551
1982-06-01,0.0567
1982-07-01,0.0568
1982-08-01,0.0642
1982-09-01,0.0634
1982-10-01,0.0616
1982-11-01,0.0611
1982-12-01,0.0608
1983-01-01,0.0608
1983-02-01,0.06
1983-03-01,0.0572
1983-04-01,0.0541
1983-05-01,0.0535
1983-06-01,0.053
1983-07-01,0.0512
1983-08-01,0.0516
1983-09-01,0.0522
1983-10-01,0.0517
1983-11-01,0.0532
1983-12-01,0.0536
1984-01-01,0.0532
1984-02-01,0.0523
1984-03-01,0.0536
1984-04-01,0.0547
1984-05-01,0.0554
