"Date","OCM3P"
1967-01-01,0.0215
1967-02-01,0.0196
1967-03-01,0.0193
1967-04-01,0.0167
1967-05-01,0.0168
1967-06-01,0.0187
1967-07-01,0.0179
1967-08-01,0.0184
1967-09-01,0.0183
1967-10-01,0.0199
1967-11-01,0.0224
1967-12-01,0.0236
1968-01-01,0.0214
1968-02-01,0.0201
1968-03-01,0.0236
1968-04-01,0.0229
1968-05-01,0.026
1968-06-01,0.0263
1968-07-01,0.0238
1968-08-01,0.0221
1968-09-01,0.0217
1968-10-01,0.0242
1968-11-01,0.0261
1968-12-01,0.0275
1969-01-01,0.0293
1969-02-01,0.0324
1969-03-01,0.0346
1969-04-01,0.0341
1969-05-01,0.0395
1969-06-01,0.0474
1969-07-01,0.0461
1969-08-01,0.0452
1969-09-01,0.0472
1969-10-01,0.0415
1969-11-01,0.0439
1969-12-01,0.047
1970-01-01,0.0413
1970-02-01,0.0381
1970-03-01,0.0356
1970-04-01,0.0331
1970-05-01,0.0353
1970-06-01,0.0381
1970-07-01,0.0349
1970-08-01,0.0322
1970-09-01,0.0313
1970-10-01,0.031
1970-11-01,0.0271
1970-12-01,0.0277
1971-01-01,0.0228
1971-02-01,0.0215
1971-03-01,0.0202
1971-04-01,0.0236
1971-05-01,0.0283
1971-06-01,0.0286
1971-07-01,0.0271
1971-08-01,0.0358
1971-09-01,0.0347
1971-10-01,0.0252
1971-11-01,0.0234
1971-12-01,0.0256
1972-01-01,0.0197
1972-02-01,0.0192
1972-03-01,0.0198
1972-04-01,0.0206
1972-05-01,0.0182
1972-06-01,0.0183
1972-07-01,0.0222
1972-08-01,0.0218
1972-09-01,0.022
1972-10-01,0.0223
1972-11-01,0.0217
1972-12-01,0.0223
1973-01-01,0.0228
1973-02-01,0.0388
1973-03-01,0.0359
1973-04-01,0.0374
1973-05-01,0.0346
1973-06-01,0.0357
1973-07-01,0.0425
1973-08-01,0.0473
1973-09-01,0.0457
1973-10-01,0.0423
1973-11-01,0.0392
1973-12-01,0.0442
1974-01-01,0.0372
1974-02-01,0.033
1974-03-01,0.0359
1974-04-01,0.0422
1974-05-01,0.048
1974-06-01,0.0502
1974-07-01,0.057
1974-08-01,0.0576
1974-09-01,0.0533
1974-10-01,0.045
1974-11-01,0.0405
1974-12-01,0.0415
1975-01-01,0.0351
1975-02-01,0.0278
1975-03-01,0.0276
1975-04-01,0.0301
1975-05-01,0.0268
1975-06-01,0.0246
1975-07-01,0.0301
1975-08-01,0.0311
1975-09-01,0.0321
1975-10-01,0.0294
1975-11-01,0.0272
1975-12-01,0.0265
1976-01-01,0.0197
1976-02-01,0.0202
1976-03-01,0.0213
1976-04-01,0.0192
1976-05-01,0.0229
1976-06-01,0.0244
1976-07-01,0.0213
1976-08-01,0.0202
1976-09-01,0.0191
1976-10-01,0.0181
1976-11-01,0.0172
1976-12-01,0.0173
1977-01-01,0.017
1977-02-01,0.0169
1977-03-01,0.0169
1977-04-01,0.017
1977-05-01,0.02
1977-06-01,0.0201
1977-07-01,0.0198
1977-08-01,0.0221
1977-09-01,0.0236
1977-10-01,0.0273
1977-11-01,0.0268
1977-12-01,0.0274
1978-01-01,0.0283
1978-02-01,0.0283
1978-03-01,0.0316
1978-04-01,0.0289
1978-05-01,0.0312
1978-06-01,0.0312
1978-07-01,0.0319
1978-08-01,0.0309
1978-09-01,0.0328
1978-10-01,0.0374
1978-11-01,0.0433
1978-12-01,0.044
1979-01-01,0.0421
1979-02-01,0.0385
1979-03-01,0.0375
1979-04-01,0.037
1979-05-01,0.0376
1979-06-01,0.0367
1979-07-01,0.038
1979-08-01,0.041
1979-09-01,0.0453
1979-10-01,0.0529
1979-11-01,0.0532
1979-12-01,0.0513
1980-01-01,0.0497
1980-02-01,0.0541
1980-03-01,0.0653
1980-04-01,0.063
1980-05-01,0.0532
1980-06-01,0.035
1980-07-01,0.033
1980-08-01,0.0404
1980-09-01,0.0435
1980-10-01,0.0466
1980-11-01,0.0572
1980-12-01,0.0756
1981-01-01,0.0723
1981-02-01,0.0574
1981-03-01,0.0508
1981-04-01,0.0534
