"Date","RESBALREQ"
1984-02-01,16777
1984-03-01,18776
1984-04-01,19870
1984-05-01,18976
1984-06-01,19437
1984-07-01,19252
1984-08-01,18589
1984-09-01,19475
1984-10-01,19437
1984-11-01,20098
1984-12-01,20898
1985-01-01,20776
1985-02-01,19498
1985-03-01,21289
1985-04-01,22458
1985-05-01,21573
1985-06-01,22460
1985-07-01,22643
1985-08-01,22571
1985-09-01,24306
1985-10-01,24674
1985-11-01,25451
1985-12-01,26518
1986-01-01,25254
1986-02-01,23648
1986-03-01,26225
1986-04-01,28114
1986-05-01,27454
1986-06-01,28555
1986-07-01,29384
1986-08-01,29409
1986-09-01,31224
1986-10-01,32209
1986-11-01,33828
1986-12-01,35991
1987-01-01,35501
1987-02-01,32404
1987-03-01,34388
1987-04-01,36957
1987-05-01,35350
1987-06-01,35068
1987-07-01,35289
1987-08-01,34535
1987-09-01,35871
1987-10-01,36115
1987-11-01,36550
1987-12-01,36672
1988-01-01,36183
1988-02-01,33028
1988-03-01,34977
1988-04-01,37474
1988-05-01,35407
1988-06-01,37031
1988-07-01,36993
1988-08-01,35909
1988-09-01,36208
1988-10-01,35317
1988-11-01,35816
1988-12-01,36703
1989-01-01,35247
1989-02-01,31611
1989-03-01,33630
1989-04-01,34984
1989-05-01,32107
1989-06-01,32923
1989-07-01,32937
1989-08-01,31971
1989-09-01,32601
1989-10-01,32049
1989-11-01,32932
1989-12-01,34425
1990-01-01,33033
1990-02-01,29882
1990-03-01,32504
1990-04-01,34499
1990-05-01,31816
1990-06-01,33097
1990-07-01,32064
1990-08-01,31550
1990-09-01,32346
1990-10-01,31240
1990-11-01,32450
1990-12-01,28562
1991-01-01,19820
1991-02-01,17984
1991-03-01,20530
1991-04-01,22469
1991-05-01,21247
1991-06-01,22675
1991-07-01,22356
1991-08-01,21702
1991-09-01,22510
1991-10-01,22117
1991-11-01,24106
1991-12-01,25680
1992-01-01,24410
1992-02-01,23823
1992-03-01,27016
1992-04-01,21513
1992-05-01,20081
1992-06-01,20313
1992-07-01,20232
1992-08-01,20330
1992-09-01,21626
1992-10-01,22571
1992-11-01,24439
1992-12-01,24246
1993-01-01,22382
1993-02-01,22426
1993-03-01,23154
1993-04-01,25862
1993-05-01,24959
1993-06-01,25551
1993-07-01,25456
1993-08-01,25610
1993-09-01,26190
1993-10-01,27200
1993-11-01,27897
1993-12-01,28290
1994-01-01,26332
1994-02-01,25764
1994-03-01,26411
1994-04-01,28460
1994-05-01,25921
1994-06-01,25388
1994-07-01,24878
1994-08-01,24282
1994-09-01,24120
1994-10-01,23940
1994-11-01,23714
1994-12-01,23500
1995-01-01,20933
1995-02-01,20771
1995-03-01,21805
1995-04-01,23435
1995-05-01,20598
1995-06-01,20071
1995-07-01,19708
1995-08-01,19553
1995-09-01,19549
1995-10-01,18959
1995-11-01,19109
1995-12-01,19164
1996-01-01,16308
1996-02-01,16019
1996-03-01,17353
1996-04-01,18109
1996-05-01,15901
1996-06-01,15516
1996-07-01,14389
1996-08-01,13852
1996-09-01,12683
1996-10-01,11804
1996-11-01,11808
1996-12-01,11913
1997-01-01,10451
1997-02-01,10401
1997-03-01,10311
1997-04-01,11232
1997-05-01,9583
1997-06-01,8968
1997-07-01,8638
1997-08-01,9228
1997-09-01,8446
1997-10-01,8579
1997-11-01,8896
1997-12-01,8979
1998-01-01,7983
1998-02-01,8001
1998-03-01,8819
1998-04-01,9775
1998-05-01,8516
1998-06-01,8055
1998-07-01,8274
1998-08-01,8157
1998-09-01,7593
1998-10-01,7455
1998-11-01,7238
1998-12-01,7512
1999-01-01,8157
1999-02-01,7389
1999-03-01,7557
1999-04-01,8043
1999-05-01,8796
1999-06-01,7171
1999-07-01,6620
1999-08-01,6561
1999-09-01,6435
1999-10-01,5625
1999-11-01,4952
1999-12-01,3965
2000-01-01,3151
2000-02-01,3962
2000-03-01,5309
2000-04-01,5935
2000-05-01,6720
2000-06-01,5493
2000-07-01,5658
2000-08-01,5907
2000-09-01,5713
2000-10-01,5580
2000-11-01,5864
2000-12-01,5594
2001-01-01,5662
2001-02-01,5035
2001-03-01,5333
2001-04-01,5582
2001-05-01,6584
2001-06-01,5681
2001-07-01,6284
2001-08-01,6368
2001-09-01,6615
2001-10-01,10747
2001-11-01,7376
2001-12-01,7402
2002-01-01,8585
2002-02-01,7880
2002-03-01,7702
2002-04-01,8507
2002-05-01,7926
