"Date","SEABORR"
1959-01-01,0
1959-02-01,0
1959-03-01,0
1959-04-01,0
1959-05-01,0
1959-06-01,0
1959-07-01,0
1959-08-01,0
1959-09-01,0
1959-10-01,0
1959-11-01,0
1959-12-01,0
1960-01-01,0
1960-02-01,0
1960-03-01,0
1960-04-01,0
1960-05-01,0
1960-06-01,0
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0
1961-07-01,0
1961-08-01,0
1961-09-01,0
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,0
1962-05-01,0
1962-06-01,0
1962-07-01,0
1962-08-01,0
1962-09-01,0
1962-10-01,0
1962-11-01,0
1962-12-01,0
1963-01-01,0
1963-02-01,0
1963-03-01,0
1963-04-01,0
1963-05-01,0
1963-06-01,0
1963-07-01,0
1963-08-01,0
1963-09-01,0
1963-10-01,0
1963-11-01,0
1963-12-01,0
1964-01-01,0
1964-02-01,0
1964-03-01,0
1964-04-01,0
1964-05-01,0
1964-06-01,0
1964-07-01,0
1964-08-01,0
1964-09-01,0
1964-10-01,0
1964-11-01,0
1964-12-01,0
1965-01-01,0
1965-02-01,0
1965-03-01,0
1965-04-01,0
1965-05-01,0
1965-06-01,0
1965-07-01,0
1965-08-01,0
1965-09-01,0
1965-10-01,0
1965-11-01,0
1965-12-01,0
1966-01-01,0
1966-02-01,0
1966-03-01,0
1966-04-01,0
1966-05-01,0
1966-06-01,0
1966-07-01,0
1966-08-01,0
1966-09-01,0
1966-10-01,0
1966-11-01,0
1966-12-01,0
1967-01-01,0
1967-02-01,0
1967-03-01,0
1967-04-01,0
1967-05-01,0
1967-06-01,0
1967-07-01,0
1967-08-01,0
1967-09-01,0
1967-10-01,0
1967-11-01,0
1967-12-01,0
1968-01-01,0
1968-02-01,0
1968-03-01,0
1968-04-01,0
1968-05-01,0
1968-06-01,0
1968-07-01,0
1968-08-01,0
1968-09-01,0
1968-10-01,0
1968-11-01,0
1968-12-01,0
1969-01-01,0
1969-02-01,0
1969-03-01,0
1969-04-01,0
1969-05-01,0
1969-06-01,0
1969-07-01,0
1969-08-01,0
1969-09-01,0
1969-10-01,0
1969-11-01,0
1969-12-01,0
1970-01-01,0
1970-02-01,0
1970-03-01,0
1970-04-01,0
1970-05-01,0
1970-06-01,0
1970-07-01,0
1970-08-01,0
1970-09-01,0
1970-10-01,0
1970-11-01,0
1970-12-01,0
1971-01-01,0
1971-02-01,0
1971-03-01,0
1971-04-01,0
1971-05-01,0
1971-06-01,0
1971-07-01,0
1971-08-01,0
1971-09-01,0
1971-10-01,0
1971-11-01,0
1971-12-01,0
1972-01-01,0
1972-02-01,0
1972-03-01,0
1972-04-01,0
1972-05-01,0
1972-06-01,0
1972-07-01,0
1972-08-01,0
1972-09-01,0
1972-10-01,0
1972-11-01,0
1972-12-01,0
1973-01-01,0
1973-02-01,0
1973-03-01,0
1973-04-01,0.005
1973-05-01,0.03
1973-06-01,0.078
1973-07-01,0.123
1973-08-01,0.163
1973-09-01,0.148
1973-10-01,0.126
1973-11-01,0.084
1973-12-01,0.041
1974-01-01,0.018
1974-02-01,0.017
1974-03-01,0.032
1974-04-01,0.053
1974-05-01,0.102
1974-06-01,0.135
1974-07-01,0.149
1974-08-01,0.164
1974-09-01,0.139
1974-10-01,0.117
1974-11-01,0.067
1974-12-01,0.032
1975-01-01,0.014
1975-02-01,0.011
1975-03-01,0.007
1975-04-01,0.007
1975-05-01,0.009
1975-06-01,0.011
1975-07-01,0.017
1975-08-01,0.037
1975-09-01,0.062
1975-10-01,0.065
1975-11-01,0.028
1975-12-01,0.014
1976-01-01,0.009
1976-02-01,0.01
1976-03-01,0.008
1976-04-01,0.01
1976-05-01,0.011
1976-06-01,0.02
1976-07-01,0.025
1976-08-01,0.028
1976-09-01,0.03
1976-10-01,0.032
1976-11-01,0.023
1976-12-01,0.013
1977-01-01,0.01
1977-02-01,0.012
1977-03-01,0.013
1977-04-01,0.014
1977-05-01,0.03
1977-06-01,0.054
1977-07-01,0.06
1977-08-01,0.114
1977-09-01,0.112
1977-10-01,0.112
1977-11-01,0.083
1977-12-01,0.055
1978-01-01,0.032
1978-02-01,0.052
1978-03-01,0.047
1978-04-01,0.043
1978-05-01,0.092
1978-06-01,0.12
1978-07-01,0.143
1978-08-01,0.189
1978-09-01,0.191
1978-10-01,0.223
1978-11-01,0.186
1978-12-01,0.135
1979-01-01,0.106
1979-02-01,0.115
1979-03-01,0.119
1979-04-01,0.134
1979-05-01,0.174
1979-06-01,0.192
1979-07-01,0.182
1979-08-01,0.179
1979-09-01,0.174
1979-10-01,0.159
1979-11-01,0.143
1979-12-01,0.082
1980-01-01,0.074
1980-02-01,0.097
1980-03-01,0.15
1980-04-01,0.155
1980-05-01,0.063
1980-06-01,0.012
1980-07-01,0.006
1980-08-01,0.009
1980-09-01,0.025
1980-10-01,0.066
1980-11-01,0.097
1980-12-01,0.116
1981-01-01,0.12
1981-02-01,0.148
1981-03-01,0.196
1981-04-01,0.162
1981-05-01,0.269
1981-06-01,0.291
1981-07-01,0.247
1981-08-01,0.235
1981-09-01,0.222
1981-10-01,0.152
1981-11-01,0.095
1981-12-01,0.054
1982-01-01,0.075
1982-02-01,0.131
1982-03-01,0.175
1982-04-01,0.167
1982-05-01,0.235
1982-06-01,0.241
1982-07-01,0.221
1982-08-01,0.121
1982-09-01,0.102
1982-10-01,0.085
1982-11-01,0.048
1982-12-01,0.033
1983-01-01,0.033
1983-02-01,0.04
1983-03-01,0.053
1983-04-01,0.082
1983-05-01,0.099
1983-06-01,0.122
1983-07-01,0.171
1983-08-01,0.198
1983-09-01,0.19
1983-10-01,0.142
1983-11-01,0.121
1983-12-01,0.096
1984-01-01,0.086
1984-02-01,0.103
1984-03-01,0.133
1984-04-01,0.139
1984-05-01,0.196
1984-06-01,0.264
1984-07-01,0.308
1984-08-01,0.346
1984-09-01,0.319
1984-10-01,0.299
1984-11-01,0.212
1984-12-01,0.113
1985-01-01,0.062
1985-02-01,0.071
1985-03-01,0.088
1985-04-01,0.135
1985-05-01,0.165
1985-06-01,0.151
1985-07-01,0.167
1985-08-01,0.221
1985-09-01,0.203
1985-10-01,0.172
1985-11-01,0.107
1985-12-01,0.056
1986-01-01,0.036
1986-02-01,0.056
1986-03-01,0.068
1986-04-01,0.073
1986-05-01,0.094
1986-06-01,0.108
1986-07-01,0.116
1986-08-01,0.144
1986-09-01,0.137
1986-10-01,0.099
1986-11-01,0.07
1986-12-01,0.038
1987-01-01,0.034
1987-02-01,0.071
1987-03-01,0.091
1987-04-01,0.12
1987-05-01,0.196
1987-06-01,0.259
1987-07-01,0.283
1987-08-01,0.279
1987-09-01,0.231
1987-10-01,0.189
1987-11-01,0.126
1987-12-01,0.093
1988-01-01,0.059
1988-02-01,0.075
1988-03-01,0.119
1988-04-01,0.146
1988-05-01,0.246
1988-06-01,0.311
1988-07-01,0.376
1988-08-01,0.423
1988-09-01,0.421
1988-10-01,0.332
1988-11-01,0.186
1988-12-01,0.13
1989-01-01,0.076
1989-02-01,0.097
1989-03-01,0.14
1989-04-01,0.213
1989-05-01,0.345
1989-06-01,0.431
1989-07-01,0.497
1989-08-01,0.49
1989-09-01,0.452
1989-10-01,0.33
1989-11-01,0.134
1989-12-01,0.084
1990-01-01,0.047
1990-02-01,0.051
1990-03-01,0.078
1990-04-01,0.122
1990-05-01,0.244
1990-06-01,0.311
1990-07-01,0.389
1990-08-01,0.43
1990-09-01,0.418
1990-10-01,0.335
1990-11-01,0.162
1990-12-01,0.076
1991-01-01,0.033
1991-02-01,0.037
1991-03-01,0.055
1991-04-01,0.079
1991-05-01,0.151
1991-06-01,0.222
1991-07-01,0.317
1991-08-01,0.331
1991-09-01,0.287
1991-10-01,0.211
1991-11-01,0.086
1991-12-01,0.038
1992-01-01,0.017
1992-02-01,0.022
1992-03-01,0.032
1992-04-01,0.047
1992-05-01,0.098
1992-06-01,0.149
1992-07-01,0.203
1992-08-01,0.223
1992-09-01,0.193
1992-10-01,0.114
1992-11-01,0.04
1992-12-01,0.018
1993-01-01,0.011
1993-02-01,0.018
1993-03-01,0.026
1993-04-01,0.041
1993-05-01,0.084
1993-06-01,0.142
1993-07-01,0.21
1993-08-01,0.234
1993-09-01,0.236
1993-10-01,0.192
1993-11-01,0.075
1993-12-01,0.031
1994-01-01,0.015
1994-02-01,0.015
1994-03-01,0.024
1994-04-01,0.057
1994-05-01,0.134
1994-06-01,0.226
1994-07-01,0.364
1994-08-01,0.445
1994-09-01,0.444
1994-10-01,0.339
1994-11-01,0.164
1994-12-01,0.1
1995-01-01,0.046
1995-02-01,0.033
1995-03-01,0.051
1995-04-01,0.083
1995-05-01,0.137
1995-06-01,0.172
1995-07-01,0.231
1995-08-01,0.258
1995-09-01,0.252
