"Date","SVGTNS"
1959-01-01,84.4
1959-02-01,85
1959-03-01,85.7
1959-04-01,86.3
1959-05-01,86.9
1959-06-01,87.9
1959-07-01,88.7
1959-08-01,89.1
1959-09-01,89.6
1959-10-01,90.1
1959-11-01,90.5
1959-12-01,91.5
1960-01-01,92.4
1960-02-01,93
1960-03-01,93.7
1960-04-01,94.3
1960-05-01,94.8
1960-06-01,95.9
1960-07-01,96.7
1960-08-01,97.2
1960-09-01,97.9
1960-10-01,98.8
1960-11-01,99.5
1960-12-01,100.7
1961-01-01,101.8
1961-02-01,102.7
1961-03-01,103.6
1961-04-01,104.2
1961-05-01,104.8
1961-06-01,106.1
1961-07-01,107
1961-08-01,107.4
1961-09-01,108.2
1961-10-01,109.1
1961-11-01,109.8
1961-12-01,111.2
1962-01-01,112.4
1962-02-01,113.3
1962-03-01,114.3
1962-04-01,115.1
1962-05-01,115.6
1962-06-01,117
1962-07-01,118
1962-08-01,118.6
1962-09-01,119.6
1962-10-01,120.8
1962-11-01,121.8
1962-12-01,123.4
1963-01-01,124.9
1963-02-01,126.3
1963-03-01,127.6
1963-04-01,128.7
1963-05-01,129.5
1963-06-01,131.1
1963-07-01,132.2
1963-08-01,132.8
1963-09-01,133.8
1963-10-01,135.1
1963-11-01,136
1963-12-01,137.6
1964-01-01,138.9
1964-02-01,140.2
1964-03-01,141.4
1964-04-01,142.4
1964-05-01,143.2
1964-06-01,145
1964-07-01,146.3
1964-08-01,147.2
1964-09-01,148.4
1964-10-01,149.9
1964-11-01,150.8
1964-12-01,152.5
1965-01-01,153.7
1965-02-01,154.8
1965-03-01,156
1965-04-01,156.7
1965-05-01,157
1965-06-01,158.6
1965-07-01,159.6
1965-08-01,160
1965-09-01,161.1
1965-10-01,162.4
1965-11-01,163.2
1965-12-01,164.7
1966-01-01,165.7
1966-02-01,166.2
1966-03-01,166.3
1966-04-01,165.5
1966-05-01,164.4
1966-06-01,164.6
1966-07-01,164
1966-08-01,163
1966-09-01,163
1966-10-01,163.1
1966-11-01,162.7
1966-12-01,163.7
1967-01-01,163.6
1967-02-01,163.5
1967-03-01,164.3
1967-04-01,165
1967-05-01,165.3
1967-06-01,166.6
1967-07-01,167.5
1967-08-01,167.8
1967-09-01,168.6
1967-10-01,169.6
1967-11-01,169.5
1967-12-01,170.1
1968-01-01,169.4
1968-02-01,168.9
1968-03-01,169.6
1968-04-01,169.6
1968-05-01,169.1
1968-06-01,170
1968-07-01,170
1968-08-01,169.9
1968-09-01,171
1968-10-01,171.8
1968-11-01,171.7
1968-12-01,173.2
1969-01-01,172.9
1969-02-01,172.1
1969-03-01,173
1969-04-01,172.7
1969-05-01,171.9
1969-06-01,173
