"Date","SVSTCBNS"
1959-01-01,60.9
1959-02-01,61.1
1959-03-01,61.6
1959-04-01,62
1959-05-01,62.3
1959-06-01,62.8
1959-07-01,63
1959-08-01,63.2
1959-09-01,63.5
1959-10-01,63.5
1959-11-01,63.1
1959-12-01,63.1
1960-01-01,63.2
1960-02-01,63.1
1960-03-01,63.4
1960-04-01,63.8
1960-05-01,63.9
1960-06-01,64.4
1960-07-01,65
1960-08-01,65.8
1960-09-01,66.4
1960-10-01,67
1960-11-01,67.1
1960-12-01,67.4
1961-01-01,68.3
1961-02-01,69.4
1961-03-01,70.1
1961-04-01,70.8
1961-05-01,71.5
1961-06-01,72.3
1961-07-01,73
1961-08-01,73.4
1961-09-01,73.8
1961-10-01,74.4
1961-11-01,74.4
1961-12-01,74.7
1962-01-01,76.2
1962-02-01,77.7
1962-03-01,79.3
1962-04-01,80.4
1962-05-01,80.9
1962-06-01,81.7
1962-07-01,82.7
1962-08-01,83.4
1962-09-01,84.2
1962-10-01,85.2
1962-11-01,85.5
1962-12-01,86.1
1963-01-01,87.4
1963-02-01,88.4
1963-03-01,89.6
1963-04-01,90.4
1963-05-01,91.1
1963-06-01,91.9
1963-07-01,92.8
1963-08-01,93.6
1963-09-01,94.3
1963-10-01,95.2
1963-11-01,95.6
1963-12-01,95.9
1964-01-01,97
1964-02-01,97.8
1964-03-01,98.6
1964-04-01,99.1
1964-05-01,99.5
1964-06-01,100.4
1964-07-01,101.2
1964-08-01,101.9
1964-09-01,102.6
1964-10-01,103.6
1964-11-01,104
1964-12-01,104.6
1965-01-01,106.6
1965-02-01,108.2
1965-03-01,109.6
1965-04-01,110.3
1965-05-01,111
1965-06-01,112.1
1965-07-01,113.2
1965-08-01,114.4
1965-09-01,115.5
1965-10-01,117.2
1965-11-01,117.7
1965-12-01,118.3
1966-01-01,119.7
1966-02-01,120.8
1966-03-01,122
1966-04-01,122.5
1966-05-01,123.2
1966-06-01,123.4
1966-07-01,124.6
1966-08-01,125.4
1966-09-01,126.3
1966-10-01,127.7
1966-11-01,127.5
1966-12-01,127.7
1967-01-01,129.1
1967-02-01,130
1967-03-01,131.7
1967-04-01,133.2
1967-05-01,134.9
1967-06-01,136.9
1967-07-01,138.7
1967-08-01,140
1967-09-01,141.4
1967-10-01,143.2
1967-11-01,143.2
1967-12-01,143.7
1968-01-01,145.6
1968-02-01,147.1
1968-03-01,148.7
1968-04-01,149.5
1968-05-01,150.2
1968-06-01,151.5
1968-07-01,152.7
1968-08-01,153.9
1968-09-01,155.7
1968-10-01,157.6
1968-11-01,157.8
1968-12-01,158.3
1969-01-01,159.7
1969-02-01,160.8
1969-03-01,162.6
1969-04-01,162.8
1969-05-01,162.8
1969-06-01,163.7
1969-07-01,163.9
1969-08-01,163.6
1969-09-01,163.9
1969-10-01,164.2
1969-11-01,163.6
1969-12-01,163.9
1970-01-01,163.9
1970-02-01,164.4
1970-03-01,165.6
1970-04-01,165.5
1970-05-01,166.4
1970-06-01,168.6
1970-07-01,169.1
1970-08-01,169.7
1970-09-01,171
1970-10-01,172.9
1970-11-01,173.9
1970-12-01,175.7
1971-01-01,179
1971-02-01,183.7
1971-03-01,189.2
1971-04-01,193.1
1971-05-01,195.1
1971-06-01,196.9
1971-07-01,197.4
1971-08-01,198.1
1971-09-01,199.6
1971-10-01,201.6
1971-11-01,203.3
1971-12-01,204.9
1972-01-01,208.4
1972-02-01,212.2
1972-03-01,216.3
1972-04-01,216.9
1972-05-01,217.6
1972-06-01,220.1
1972-07-01,222.3
1972-08-01,223.7
1972-09-01,225.4
1972-10-01,227.9
1972-11-01,228.6
1972-12-01,230
1973-01-01,233.9
1973-02-01,236
1973-03-01,237.4
1973-04-01,238.9
1973-05-01,240.5
1973-06-01,242.6
1973-07-01,241.9
1973-08-01,241.6
1973-09-01,239
1973-10-01,239.1
1973-11-01,240.3
1973-12-01,241.8
1974-01-01,244.7
1974-02-01,247.6
1974-03-01,251.7
1974-04-01,252.8
1974-05-01,252.9
1974-06-01,254.1
1974-07-01,254.4
1974-08-01,254.2
1974-09-01,254.3
1974-10-01,256.6
1974-11-01,257.2
1974-12-01,256.8
1975-01-01,260.1
1975-02-01,264.6
1975-03-01,270.8
1975-04-01,276.1
1975-05-01,279.7
1975-06-01,285.4
1975-07-01,289.4
1975-08-01,290.6
1975-09-01,291.6
1975-10-01,294.4
1975-11-01,296.3
1975-12-01,300.3
1976-01-01,306.4
1976-02-01,313.8
1976-03-01,317.8
1976-04-01,321.8
1976-05-01,326.2
1976-06-01,327.3
1976-07-01,329.6
1976-08-01,333.5
1976-09-01,338.4
1976-10-01,344.8
1976-11-01,348.8
1976-12-01,353.8
1977-01-01,360.8
1977-02-01,365.8
1977-03-01,371.5
1977-04-01,375.9
1977-05-01,378.5
1977-06-01,380.2
1977-07-01,381.6
1977-08-01,381.8
1977-09-01,382.1
1977-10-01,383.4
1977-11-01,382.2
1977-12-01,382.9
1978-01-01,386.9
1978-02-01,389.2
1978-03-01,392
1978-04-01,393.8
1978-05-01,395
1978-06-01,396.5
1978-07-01,396.7
1978-08-01,397
1978-09-01,399.6
1978-10-01,401.9
1978-11-01,399.3
1978-12-01,398.7
1979-01-01,401.2
1979-02-01,401.5
1979-03-01,403.8
1979-04-01,407.5
1979-05-01,410
1979-06-01,414.3
1979-07-01,417.6
1979-08-01,420.7
1979-09-01,422.9
1979-10-01,425.6
1979-11-01,426.4
1979-12-01,428
1980-01-01,432.1
1980-02-01,434.6
1980-03-01,439.7
1980-04-01,444.9
1980-05-01,447.4
1980-06-01,451.1
1980-07-01,455.4
1980-08-01,457.9
1980-09-01,460.3
1980-10-01,464.8
1980-11-01,468.5
1980-12-01,469.8
1981-01-01,473.5
1981-02-01,475.2
1981-03-01,478.7
1981-04-01,480.4
1981-05-01,482.3
1981-06-01,485.4
1981-07-01,487.6
1981-08-01,491.5
1981-09-01,494.4
1981-10-01,500.8
1981-11-01,504
1981-12-01,505.1
1982-01-01,509.9
1982-02-01,515
1982-03-01,522.7
1982-04-01,528.1
1982-05-01,533.2
1982-06-01,537.7
1982-07-01,543.6
1982-08-01,547.5
1982-09-01,550.2
1982-10-01,552
1982-11-01,553
1982-12-01,568.5
1983-01-01,621.7
1983-02-01,647.1
1983-03-01,658.5
1983-04-01,664.8
1983-05-01,672.3
1983-06-01,680.2
1983-07-01,686.4
1983-08-01,690.6
1983-09-01,695.4
1983-10-01,704
1983-11-01,710.5
1983-12-01,713.9
1984-01-01,720.1
1984-02-01,725.2
1984-03-01,731.5
1984-04-01,735.9
1984-05-01,738.2
1984-06-01,743.8
1984-07-01,747.3
1984-08-01,750.9
1984-09-01,754.7
1984-10-01,759.5
1984-11-01,768
1984-12-01,777.2
1985-01-01,789.2
1985-02-01,795.5
1985-03-01,800.1
1985-04-01,802.7
1985-05-01,807.7
1985-06-01,820
1985-07-01,827.2
1985-08-01,830.4
1985-09-01,833.2
1985-10-01,836.6
1985-11-01,840.4
1985-12-01,843.4
1986-01-01,850.7
1986-02-01,851.3
1986-03-01,856.2
1986-04-01,860.2
1986-05-01,864.7
1986-06-01,872.7
1986-07-01,879.2
1986-08-01,884.6
1986-09-01,890.4
1986-10-01,895.4
1986-11-01,898.7
1986-12-01,903.3
1987-01-01,911.1
1987-02-01,909.5
1987-03-01,911.2
1987-04-01,910.1
1987-05-01,905.9
1987-06-01,909.8
1987-07-01,914.2
1987-08-01,915.9
1987-09-01,916.3
1987-10-01,919.2
1987-11-01,924.3
1987-12-01,927.1
1988-01-01,933.9
1988-02-01,940.1
1988-03-01,949
1988-04-01,952.9
1988-05-01,954.8
1988-06-01,964.4
1988-07-01,971.3
1988-08-01,973.8
1988-09-01,976.6
1988-10-01,982.7
1988-11-01,991.8
1988-12-01,994.1
1989-01-01,999
1989-02-01,1002.4
1989-03-01,1009.7
1989-04-01,1014.3
1989-05-01,1012.9
1989-06-01,1020.3
1989-07-01,1028.9
1989-08-01,1038.1
1989-09-01,1044.2
1989-10-01,1054.5
1989-11-01,1067.3
1989-12-01,1075.3
1990-01-01,1082.7
1990-02-01,1090.7
1990-03-01,1099.5
1990-04-01,1106
1990-05-01,1113.5
1990-06-01,1132.1
1990-07-01,1146.2
1990-08-01,1153.2
1990-09-01,1159.8
1990-10-01,1173.4
1990-11-01,1179.3
1990-12-01,1190.3
1991-01-01,1198.4
1991-02-01,1209
1991-03-01,1221.2
1991-04-01,1224.1
1991-05-01,1225.8
1991-06-01,1237.7
1991-07-01,1245.7
1991-08-01,1255.4
1991-09-01,1258.3
1991-10-01,1263.2
1991-11-01,1266
1991-12-01,1264.9
1992-01-01,1264.2
1992-02-01,1265.6
1992-03-01,1268.9
1992-04-01,1274.2
1992-05-01,1266.9
1992-06-01,1266.2
1992-07-01,1265.9
1992-08-01,1263.7
1992-09-01,1263.5
1992-10-01,1265.9
1992-11-01,1264.4
1992-12-01,1259.8
1993-01-01,1253.7
1993-02-01,1257.8
1993-03-01,1259.1
1993-04-01,1257.3
1993-05-01,1257
1993-06-01,1259.8
1993-07-01,1256.7
1993-08-01,1254.9
1993-09-01,1252.8
1993-10-01,1250.8
1993-11-01,1252.5
1993-12-01,1251.1
1994-01-01,1251
1994-02-01,1251
1994-03-01,1252.7
1994-04-01,1250.8
1994-05-01,1247.3
1994-06-01,1248.4
1994-07-01,1250.4
1994-08-01,1253.4
1994-09-01,1254.7
1994-10-01,1254.3
1994-11-01,1255.8
1994-12-01,1254.3
1995-01-01,1255
1995-02-01,1257.2
1995-03-01,1264.4
1995-04-01,1267.7
1995-05-01,1275
1995-06-01,1294.5
1995-07-01,1302.5
1995-08-01,1313.2
1995-09-01,1320
1995-10-01,1328
1995-11-01,1337.3
1995-12-01,1349
1996-01-01,1368.7
1996-02-01,1379.3
1996-03-01,1399.4
1996-04-01,1405.8
1996-05-01,1406.6
1996-06-01,1419.3
1996-07-01,1429.5
1996-08-01,1445
1996-09-01,1454.1
1996-10-01,1469.3
1996-11-01,1487.3
1996-12-01,1497.5
1997-01-01,1506.2
1997-02-01,1513.4
1997-03-01,1536.7
1997-04-01,1553.6
1997-05-01,1550.1
1997-06-01,1564.5
1997-07-01,1577
1997-08-01,1589.7
1997-09-01,1605.5
1997-10-01,1620.4
1997-11-01,1635.7
1997-12-01,1645.7
1998-01-01,1657.3
1998-02-01,1669.5
1998-03-01,1689
1998-04-01,1712.6
1998-05-01,1704
1998-06-01,1717.8
1998-07-01,1733.2
1998-08-01,1749.5
1998-09-01,1763.5
1998-10-01,1777.3
1998-11-01,1797.3
1998-12-01,1812.7
1999-01-01,1821.2
1999-02-01,1827.1
1999-03-01,1839.4
1999-04-01,1861.9
1999-05-01,1853.8
1999-06-01,1867.5
1999-07-01,1882.2
1999-08-01,1890.9
1999-09-01,1904.9
1999-10-01,1913.8
1999-11-01,1922.7
1999-12-01,1926.2
2000-01-01,1931.2
2000-02-01,1946
2000-03-01,1968.5
2000-04-01,2007.1
2000-05-01,1986.8
