"Date","TLVAULT"
1959-01-01,2242
1959-02-01,2079
1959-03-01,2061
1959-04-01,2082
1959-05-01,2089
1959-06-01,2168
1959-07-01,2151
1959-08-01,2155
1959-09-01,2202
1959-10-01,2172
1959-11-01,2222
1959-12-01,2408
1960-01-01,2366
1960-02-01,2205
1960-03-01,2168
1960-04-01,2188
1960-05-01,2205
1960-06-01,2246
1960-07-01,2276
1960-08-01,2275
1960-09-01,2296
1960-10-01,2329
1960-11-01,2384
1960-12-01,2581
1961-01-01,2619
1961-02-01,2438
1961-03-01,2366
1961-04-01,2424
1961-05-01,2439
1961-06-01,2469
1961-07-01,2545
1961-08-01,2506
1961-09-01,2557
1961-10-01,2594
1961-11-01,2636
1961-12-01,2864
1962-01-01,2904
1962-02-01,2654
1962-03-01,2598
1962-04-01,2658
1962-05-01,2680
1962-06-01,2719
1962-07-01,2796
1962-08-01,2745
1962-09-01,2831
1962-10-01,2826
1962-11-01,2868
1962-12-01,3137
1963-01-01,3105
1963-02-01,2856
1963-03-01,2821
1963-04-01,2911
1963-05-01,2889
1963-06-01,2945
1963-07-01,3035
1963-08-01,2976
1963-09-01,3080
1963-10-01,3059
1963-11-01,3110
1963-12-01,3451
1964-01-01,3395
1964-02-01,3140
1964-03-01,3091
1964-04-01,3162
1964-05-01,3146
1964-06-01,3209
1964-07-01,3222
1964-08-01,3259
1964-09-01,3332
1964-10-01,3299
1964-11-01,3380
1964-12-01,3617
1965-01-01,3625
1965-02-01,3408
1965-03-01,3415
1965-04-01,3430
1965-05-01,3433
1965-06-01,3523
1965-07-01,3544
1965-08-01,3566
1965-09-01,3599
1965-10-01,3651
1965-11-01,3739
1965-12-01,3936
1966-01-01,3964
1966-02-01,3750
1966-03-01,3718
1966-04-01,3764
1966-05-01,3754
1966-06-01,3818
1966-07-01,3893
1966-08-01,3899
1966-09-01,3935
1966-10-01,3965
1966-11-01,4019
1966-12-01,4235
1967-01-01,4340
1967-02-01,4034
1967-03-01,3956
1967-04-01,4027
1967-05-01,4026
1967-06-01,4088
1967-07-01,4226
1967-08-01,4155
1967-09-01,4224
1967-10-01,4236
1967-11-01,4245
1967-12-01,4521
1968-01-01,4657
1968-02-01,4315
1968-03-01,4248
1968-04-01,4380
1968-05-01,4291
1968-06-01,4382
1968-07-01,4492
1968-08-01,4392
1968-09-01,4551
1968-10-01,4512
1968-11-01,4523
1968-12-01,4737
1969-01-01,5075
1969-02-01,4645
1969-03-01,4507
1969-04-01,4497
1969-05-01,4531
1969-06-01,4550
1969-07-01,4671
1969-08-01,4647
1969-09-01,4733
1969-10-01,4680
1969-11-01,4727
1969-12-01,4959
1970-01-01,5277
1970-02-01,4863
1970-03-01,4732
1970-04-01,4772
1970-05-01,4805
1970-06-01,4864
1970-07-01,4957
1970-08-01,4995
1970-09-01,5105
1970-10-01,5108
1970-11-01,5142
1970-12-01,5340
1971-01-01,5549
1971-02-01,5169
1971-03-01,5085
1971-04-01,5069
1971-05-01,5167
1971-06-01,5230
1971-07-01,5315
1971-08-01,5356
1971-09-01,5436
1971-10-01,5397
1971-11-01,5452
1971-12-01,5675
1972-01-01,5910
1972-02-01,5547
1972-03-01,5365
1972-04-01,5422
1972-05-01,5465
1972-06-01,5536
1972-07-01,5659
1972-08-01,5695
1972-09-01,5779
1972-10-01,5715
1972-11-01,5812
1972-12-01,6098
1973-01-01,6463
1973-02-01,6030
1973-03-01,5855
1973-04-01,5823
1973-05-01,6007
1973-06-01,6085
1973-07-01,6273
1973-08-01,6295
1973-09-01,6401
1973-10-01,6371
1973-11-01,6383
1973-12-01,6635
1974-01-01,7196
1974-02-01,6601
1974-03-01,6450
1974-04-01,6403
1974-05-01,6602
1974-06-01,6669
1974-07-01,6828
1974-08-01,6767
1974-09-01,6923
1974-10-01,6857
1974-11-01,6928
1974-12-01,7179
1975-01-01,7789
1975-02-01,7065
1975-03-01,6831
1975-04-01,6871
1975-05-01,6920
1975-06-01,6970
1975-07-01,7215
1975-08-01,7300
1975-09-01,7431
1975-10-01,7322
1975-11-01,7359
1975-12-01,7772
1976-01-01,8433
1976-02-01,7647
1976-03-01,7459
1976-04-01,7569
1976-05-01,7838
1976-06-01,7903
1976-07-01,8065
1976-08-01,7987
1976-09-01,8113
1976-10-01,8026
1976-11-01,8183
1976-12-01,8548
1977-01-01,8924
1977-02-01,8331
1977-03-01,8137
1977-04-01,8384
1977-05-01,8610
1977-06-01,8609
1977-07-01,8624
1977-08-01,8713
1977-09-01,8888
1977-10-01,8821
1977-11-01,8934
1977-12-01,9352
1978-01-01,9984
1978-02-01,9319
1978-03-01,8995
1978-04-01,9034
1978-05-01,9153
1978-06-01,9349
1978-07-01,9546
1978-08-01,9522
1978-09-01,9611
1978-10-01,9655
1978-11-01,9795
1978-12-01,10331
1979-01-01,11090
1979-02-01,10077
1979-03-01,9777
1979-04-01,9741
1979-05-01,10047
1979-06-01,10154
1979-07-01,10562
1979-08-01,10525
1979-09-01,10727
1979-10-01,10682
1979-11-01,10737
1979-12-01,11344
1980-01-01,12270
1980-02-01,11048
1980-03-01,10702
1980-04-01,10873
1980-05-01,10982
1980-06-01,11121
1980-07-01,11271
1980-08-01,11250
1980-09-01,11798
1980-10-01,11667
1980-11-01,15311
1980-12-01,18149
1981-01-01,19458
1981-02-01,17868
1981-03-01,17400
1981-04-01,17269
1981-05-01,17804
1981-06-01,18187
1981-07-01,18273
1981-08-01,18435
1981-09-01,18925
1981-10-01,18810
1981-11-01,18844
1981-12-01,19538
1982-01-01,20284
1982-02-01,19251
1982-03-01,18749
1982-04-01,18577
1982-05-01,19048
1982-06-01,19318
1982-07-01,19554
1982-08-01,19500
1982-09-01,19921
1982-10-01,19578
1982-11-01,19807
1982-12-01,20392
1983-01-01,21454
1983-02-01,20036
1983-03-01,19484
1983-04-01,19569
1983-05-01,19710
1983-06-01,20098
1983-07-01,20413
1983-08-01,20035
1983-09-01,20798
1983-10-01,20471
1983-11-01,20558
1983-12-01,20755
1984-01-01,22578
1984-02-01,22246
1984-03-01,20403
1984-04-01,20161
1984-05-01,20462
1984-06-01,20787
1984-07-01,21169
1984-08-01,21737
1984-09-01,21281
1984-10-01,21849
1984-11-01,21709
1984-12-01,22193
1985-01-01,22941
1985-02-01,23768
1985-03-01,21703
1985-04-01,21418
1985-05-01,21775
1985-06-01,22052
1985-07-01,22414
1985-08-01,22730
1985-09-01,22356
1985-10-01,22850
1985-11-01,22835
1985-12-01,23336
1986-01-01,24595
1986-02-01,25261
1986-03-01,22995
1986-04-01,22569
1986-05-01,22829
1986-06-01,23154
1986-07-01,23479
1986-08-01,23858
1986-09-01,23798
1986-10-01,24196
1986-11-01,24011
1986-12-01,24538
1987-01-01,25475
1987-02-01,26293
1987-03-01,24159
1987-04-01,23761
1987-05-01,24114
1987-06-01,24801
1987-07-01,25061
1987-08-01,25110
1987-09-01,25322
1987-10-01,26066
1987-11-01,25919
1987-12-01,26676
1988-01-01,27418
1988-02-01,28591
1988-03-01,26384
1988-04-01,25650
1988-05-01,26334
1988-06-01,26183
1988-07-01,26939
1988-08-01,27419
1988-09-01,27251
1988-10-01,27909
1988-11-01,27753
1988-12-01,28204
1989-01-01,29305
1989-02-01,30597
1989-03-01,27881
1989-04-01,27612
1989-05-01,28110
1989-06-01,28089
1989-07-01,28805
1989-08-01,29360
1989-09-01,29098
1989-10-01,29921
1989-11-01,29558
1989-12-01,29827
1990-01-01,31313
1990-02-01,32506
1990-03-01,29588
1990-04-01,29284
1990-05-01,29816
1990-06-01,29642
1990-07-01,30460
1990-08-01,30842
1990-09-01,30625
1990-10-01,31521
1990-11-01,31086
1990-12-01,31789
1991-01-01,33231
1991-02-01,33498
1991-03-01,30906
1991-04-01,30571
1991-05-01,30734
1991-06-01,30542
1991-07-01,31331
1991-08-01,31786
1991-09-01,31529
1991-10-01,32297
1991-11-01,31713
1991-12-01,32509
1992-01-01,34133
1992-02-01,34233
1992-03-01,31651
1992-04-01,31074
1992-05-01,31202
1992-06-01,31733
1992-07-01,32148
1992-08-01,32460
1992-09-01,32344
1992-10-01,32991
1992-11-01,32464
1992-12-01,34541
1993-01-01,36003
1993-02-01,33913
1993-03-01,33284
1993-04-01,32709
1993-05-01,33451
1993-06-01,34096
1993-07-01,34526
1993-08-01,34508
1993-09-01,35211
1993-10-01,35176
1993-11-01,35656
1993-12-01,36818
1994-01-01,37902
1994-02-01,36298
1994-03-01,35590
1994-04-01,35224
1994-05-01,35900
1994-06-01,36910
1994-07-01,37651
1994-08-01,37621
1994-09-01,38435
1994-10-01,38243
1994-11-01,38956
1994-12-01,40382
1995-01-01,42316
1995-02-01,39804
1995-03-01,38533
1995-04-01,38183
1995-05-01,39212
1995-06-01,40006
1995-07-01,40743
1995-08-01,40441
1995-09-01,40922
1995-10-01,40803
1995-11-01,40783
1995-12-01,42284
1996-01-01,44777
1996-02-01,42101
1996-03-01,40881
1996-04-01,40968
1996-05-01,41331
1996-06-01,42207
1996-07-01,42986
1996-08-01,42770
1996-09-01,43908
1996-10-01,43125
1996-11-01,42891
1996-12-01,44527
1997-01-01,47293
1997-02-01,43603
1997-03-01,42267
1997-04-01,41561
1997-05-01,41306
1997-06-01,42540
1997-07-01,43296
1997-08-01,42584
1997-09-01,43269
1997-10-01,42240
1997-11-01,42886
1997-12-01,44742
1998-01-01,47367
1998-02-01,43198
1998-03-01,41634
1998-04-01,41221
1998-05-01,41503
1998-06-01,42615
1998-07-01,42029
1998-08-01,42121
1998-09-01,42521
1998-10-01,43258
1998-11-01,43096
1998-12-01,44295
1999-01-01,45454
1999-02-01,46473
1999-03-01,42909
1999-04-01,42165
1999-05-01,42588
1999-06-01,42622
1999-07-01,44079
1999-08-01,44601
1999-09-01,44446
1999-10-01,47038
1999-11-01,50823
1999-12-01,60625
2000-01-01,74021
2000-02-01,63770
2000-03-01,48952
