"Date","TRARR"
1959-01-01,11.112
1959-02-01,11.129
1959-03-01,11.081
1959-04-01,11.116
1959-05-01,11.058
1959-06-01,10.972
1959-07-01,11.109
1959-08-01,11.168
1959-09-01,11.128
1959-10-01,11.057
1959-11-01,11.052
1959-12-01,11.109
1960-01-01,11.081
1960-02-01,10.884
1960-03-01,10.796
1960-04-01,10.767
1960-05-01,10.84
1960-06-01,10.885
1960-07-01,10.994
1960-08-01,11.078
1960-09-01,11.147
1960-10-01,11.216
1960-11-01,11.299
1960-12-01,11.247
1961-01-01,11.324
1961-02-01,11.229
1961-03-01,11.108
1961-04-01,11.123
1961-05-01,11.035
1961-06-01,11.087
1961-07-01,11.124
1961-08-01,11.234
1961-09-01,11.289
1961-10-01,11.413
1961-11-01,11.482
1961-12-01,11.499
1962-01-01,11.49
1962-02-01,11.301
1962-03-01,11.259
1962-04-01,11.33
1962-05-01,11.384
1962-06-01,11.328
1962-07-01,11.394
1962-08-01,11.355
1962-09-01,11.383
1962-10-01,11.45
1962-11-01,11.492
1962-12-01,11.604
1963-01-01,11.567
1963-02-01,11.456
1963-03-01,11.404
1963-04-01,11.449
1963-05-01,11.426
1963-06-01,11.398
1963-07-01,11.53
1963-08-01,11.484
1963-09-01,11.503
1963-10-01,11.457
1963-11-01,11.547
1963-12-01,11.73
1964-01-01,11.643
1964-02-01,11.547
1964-03-01,11.563
1964-04-01,11.537
1964-05-01,11.523
1964-06-01,11.595
1964-07-01,11.651
1964-08-01,11.795
1964-09-01,11.863
1964-10-01,11.888
1964-11-01,11.998
1964-12-01,12.011
1965-01-01,11.952
1965-02-01,11.883
1965-03-01,11.884
1965-04-01,12.043
1965-05-01,11.912
1965-06-01,12.005
1965-07-01,12.073
1965-08-01,12.079
1965-09-01,12.071
1965-10-01,12.118
1965-11-01,12.087
1965-12-01,12.316
1966-01-01,12.295
1966-02-01,12.193
1966-03-01,12.164
1966-04-01,12.258
1966-05-01,12.263
1966-06-01,12.256
1966-07-01,12.371
1966-08-01,12.165
1966-09-01,12.229
1966-10-01,12.199
1966-11-01,12.205
1966-12-01,12.223
1967-01-01,12.334
1967-02-01,12.28
1967-03-01,12.438
1967-04-01,12.488
1967-05-01,12.418
1967-06-01,12.457
1967-07-01,12.722
1967-08-01,12.678
1967-09-01,12.846
1967-10-01,13.088
1967-11-01,13.131
1967-12-01,13.18
1968-01-01,13.239
1968-02-01,13.188
1968-03-01,13.186
1968-04-01,13.117
1968-05-01,13.13
1968-06-01,13.251
1968-07-01,13.455
1968-08-01,13.44
1968-09-01,13.435
1968-10-01,13.529
1968-11-01,13.649
1968-12-01,13.767
1969-01-01,13.629
1969-02-01,13.714
1969-03-01,13.653
1969-04-01,13.471
1969-05-01,13.844
1969-06-01,13.795
1969-07-01,13.491
1969-08-01,13.784
1969-09-01,13.822
1969-10-01,13.904
1969-11-01,14.172
1969-12-01,14.168
1970-01-01,14.087
1970-02-01,14.099
1970-03-01,14.071
1970-04-01,14.209
1970-05-01,14.007
1970-06-01,14.078
1970-07-01,14.159
1970-08-01,14.282
1970-09-01,14.447
1970-10-01,14.48
1970-11-01,14.47
1970-12-01,14.558
1971-01-01,14.604
1971-02-01,14.819
1971-03-01,14.798
1971-04-01,14.759
1971-05-01,14.982
1971-06-01,15.057
1971-07-01,15.125
1971-08-01,15.19
1971-09-01,15.423
1971-10-01,15.211
1971-11-01,15.247
1971-12-01,15.23
1972-01-01,15.369
1972-02-01,15.363
1972-03-01,15.48
1972-04-01,15.651
1972-05-01,15.739
1972-06-01,15.909
1972-07-01,15.835
1972-08-01,16.01
1972-09-01,16
1972-10-01,16.193
1972-11-01,16.441
1972-12-01,16.645
1973-01-01,16.708
1973-02-01,16.714
1973-03-01,16.923
1973-04-01,16.731
1973-05-01,16.672
1973-06-01,16.746
1973-07-01,16.988
1973-08-01,16.796
1973-09-01,16.735
1973-10-01,16.924
1973-11-01,16.978
1973-12-01,17.021
1974-01-01,17.222
1974-02-01,17.125
1974-03-01,17.131
1974-04-01,17.298
1974-05-01,17.423
1974-06-01,17.367
1974-07-01,17.486
1974-08-01,17.391
1974-09-01,17.385
1974-10-01,17.349
1974-11-01,17.453
1974-12-01,17.55
1975-01-01,17.273
1975-02-01,17.271
1975-03-01,17.439
1975-04-01,17.498
1975-05-01,17.353
1975-06-01,17.715
1975-07-01,17.632
1975-08-01,17.66
1975-09-01,17.834
1975-10-01,17.587
1975-11-01,17.849
1975-12-01,17.822
1976-01-01,17.616
1976-02-01,17.806
1976-03-01,17.875
1976-04-01,17.719
1976-05-01,17.94
1976-06-01,17.946
1976-07-01,17.846
1976-08-01,18.053
1976-09-01,18.009
1976-10-01,18.077
1976-11-01,18.34
1976-12-01,18.388
1977-01-01,18.421
