"Date","VAULTSUR"
1959-01-01,0
1959-02-01,0
1959-03-01,0
1959-04-01,0
1959-05-01,0
1959-06-01,0
1959-07-01,0
1959-08-01,0
1959-09-01,0
1959-10-01,0
1959-11-01,0
1959-12-01,0
1960-01-01,0
1960-02-01,0
1960-03-01,0
1960-04-01,0
1960-05-01,0
1960-06-01,0
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0
1961-07-01,0
1961-08-01,0
1961-09-01,0
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0
1962-03-01,0
1962-04-01,0
1962-05-01,0
1962-06-01,0
1962-07-01,0
1962-08-01,0
1962-09-01,0
1962-10-01,0
1962-11-01,0
1962-12-01,0
1963-01-01,0
1963-02-01,0
1963-03-01,0
1963-04-01,0
1963-05-01,0
1963-06-01,0
1963-07-01,0
1963-08-01,0
1963-09-01,0
1963-10-01,0
1963-11-01,0
1963-12-01,0
1964-01-01,0
1964-02-01,0
1964-03-01,0
1964-04-01,0
1964-05-01,0
1964-06-01,0
1964-07-01,0
1964-08-01,0
1964-09-01,0
1964-10-01,0
1964-11-01,0
1964-12-01,0
1965-01-01,0
1965-02-01,0
1965-03-01,0
1965-04-01,0
1965-05-01,0
1965-06-01,0
1965-07-01,0
1965-08-01,0
1965-09-01,0
1965-10-01,0
1965-11-01,0
1965-12-01,0
1966-01-01,0
1966-02-01,0
1966-03-01,0
1966-04-01,0
1966-05-01,0
1966-06-01,0
1966-07-01,0
1966-08-01,0
1966-09-01,0
1966-10-01,0
1966-11-01,0
1966-12-01,0
1967-01-01,0
1967-02-01,0
1967-03-01,0
1967-04-01,0
1967-05-01,0
1967-06-01,0
1967-07-01,0
1967-08-01,0
1967-09-01,0
1967-10-01,0
1967-11-01,0
1967-12-01,0
1968-01-01,0
1968-02-01,0
1968-03-01,0
1968-04-01,0
1968-05-01,0
1968-06-01,0
1968-07-01,0
1968-08-01,0
1968-09-01,0
1968-10-01,0
1968-11-01,0
1968-12-01,0
1969-01-01,0
1969-02-01,0
1969-03-01,0
1969-04-01,0
1969-05-01,0
1969-06-01,0
1969-07-01,0
1969-08-01,0
1969-09-01,0
1969-10-01,0
1969-11-01,0
1969-12-01,0
1970-01-01,0
1970-02-01,0
1970-03-01,0
1970-04-01,0
1970-05-01,0
1970-06-01,0
1970-07-01,0
1970-08-01,0
1970-09-01,0
1970-10-01,0
1970-11-01,0
1970-12-01,0
1971-01-01,0
1971-02-01,0
1971-03-01,0
1971-04-01,0
1971-05-01,0
1971-06-01,0
1971-07-01,0
1971-08-01,0
1971-09-01,0
1971-10-01,0
1971-11-01,0
1971-12-01,0
1972-01-01,0
1972-02-01,0
1972-03-01,0
1972-04-01,0
1972-05-01,0
1972-06-01,0
1972-07-01,0
1972-08-01,0
1972-09-01,0
1972-10-01,0
1972-11-01,0
1972-12-01,0
1973-01-01,0
1973-02-01,0
1973-03-01,0
1973-04-01,0
1973-05-01,0
1973-06-01,0
1973-07-01,0
1973-08-01,0
1973-09-01,0
1973-10-01,0
1973-11-01,0
1973-12-01,0
1974-01-01,0
1974-02-01,0
1974-03-01,0
1974-04-01,0
1974-05-01,0
1974-06-01,0
1974-07-01,0
1974-08-01,0
1974-09-01,0
1974-10-01,0
1974-11-01,0
1974-12-01,0
1975-01-01,0
1975-02-01,0
1975-03-01,0
1975-04-01,0
1975-05-01,0
1975-06-01,0
1975-07-01,0
1975-08-01,0
1975-09-01,0
1975-10-01,0
1975-11-01,0
1975-12-01,0
1976-01-01,0
1976-02-01,0
1976-03-01,0
1976-04-01,0
1976-05-01,0
1976-06-01,0
1976-07-01,0
1976-08-01,0
1976-09-01,0
1976-10-01,0
1976-11-01,0
1976-12-01,0
1977-01-01,0
1977-02-01,0
1977-03-01,0
1977-04-01,0
1977-05-01,0
1977-06-01,0
1977-07-01,0
1977-08-01,0
1977-09-01,0
1977-10-01,0
1977-11-01,0
1977-12-01,0
1978-01-01,0
1978-02-01,0
1978-03-01,0
1978-04-01,0
1978-05-01,0
1978-06-01,0
1978-07-01,0
1978-08-01,0
1978-09-01,0
1978-10-01,0
1978-11-01,0
1978-12-01,0
1979-01-01,0
1979-02-01,0
1979-03-01,0
1979-04-01,0
1979-05-01,0
1979-06-01,0
1979-07-01,0
1979-08-01,0
1979-09-01,0
1979-10-01,0
1979-11-01,0
1979-12-01,0
1980-01-01,0
1980-02-01,0
1980-03-01,0
1980-04-01,0
1980-05-01,0
1980-06-01,0
1980-07-01,0
1980-08-01,0
1980-09-01,0
1980-10-01,0
1980-11-01,2996
1980-12-01,4843
1981-01-01,5057
1981-02-01,4669
1981-03-01,4439
1981-04-01,4253
1981-05-01,4266
1981-06-01,4367
1981-07-01,4373
1981-08-01,4408
1981-09-01,3832
1981-10-01,3789
1981-11-01,3785
1981-12-01,3780
1982-01-01,3794
1982-02-01,3934
1982-03-01,3773
1982-04-01,3584
1982-05-01,3702
1982-06-01,3783
1982-07-01,3860
1982-08-01,3793
1982-09-01,3343
1982-10-01,3243
1982-11-01,3212
1982-12-01,3343
1983-01-01,4022
1983-02-01,3768
1983-03-01,3613
1983-04-01,3485
1983-05-01,3438
1983-06-01,3491
1983-07-01,3604
1983-08-01,3340
1983-09-01,3467
1983-10-01,3393
1983-11-01,3356
1983-12-01,2847
1984-01-01,3782
1984-02-01,4300
1984-03-01,3611
1984-04-01,3368
1984-05-01,3505
1984-06-01,3482
1984-07-01,3590
1984-08-01,3742
1984-09-01,3378
1984-10-01,3430
1984-11-01,3314
1984-12-01,3233
1985-01-01,3395
1985-02-01,3908
1985-03-01,3271
1985-04-01,2986
1985-05-01,3106
1985-06-01,3066
1985-07-01,3131
1985-08-01,3199
1985-09-01,2884
1985-10-01,2814
1985-11-01,2834
1985-12-01,2796
1986-01-01,2908
1986-02-01,3308
1986-03-01,2837
1986-04-01,2579
1986-05-01,2690
1986-06-01,2712
1986-07-01,2761
1986-08-01,2748
1986-09-01,2526
1986-10-01,2509
1986-11-01,2408
1986-12-01,2334
1987-01-01,2401
1987-02-01,2855
1987-03-01,2411
1987-04-01,2168
1987-05-01,2230
1987-06-01,2320
1987-07-01,2330
1987-08-01,2362
1987-09-01,2195
1987-10-01,2212
1987-11-01,2169
1987-12-01,2239
1988-01-01,2292
1988-02-01,2752
1988-03-01,2295
1988-04-01,1985
1988-05-01,2141
1988-06-01,2105
1988-07-01,2198
1988-08-01,2362
1988-09-01,2305
1988-10-01,2420
1988-11-01,2333
1988-12-01,2291
1989-01-01,2310
1989-02-01,2731
1989-03-01,2309
1989-04-01,2161
1989-05-01,2394
1989-06-01,2348
1989-07-01,2447
1989-08-01,2619
1989-09-01,2523
1989-10-01,2648
1989-11-01,2509
1989-12-01,2462
1990-01-01,2469
1990-02-01,2806
1990-03-01,2333
1990-04-01,2172
1990-05-01,2353
1990-06-01,2318
1990-07-01,2447
1990-08-01,2550
1990-09-01,2463
1990-10-01,2595
1990-11-01,2415
1990-12-01,2894
1991-01-01,4259
1991-02-01,4773
1991-03-01,4054
1991-04-01,3778
1991-05-01,3955
1991-06-01,3805
1991-07-01,3921
1991-08-01,3972
1991-09-01,3845
1991-10-01,3907
1991-11-01,3658
1991-12-01,3634
1992-01-01,3736
1992-02-01,3896
1992-03-01,3426
1992-04-01,3275
1992-05-01,3446
1992-06-01,3459
1992-07-01,3529
1992-08-01,3572
1992-09-01,3441
1992-10-01,3488
1992-11-01,3254
1992-12-01,3364
1993-01-01,3624
1993-02-01,3558
1993-03-01,3371
1993-04-01,3143
1993-05-01,3322
1993-06-01,3322
1993-07-01,3340
1993-08-01,3312
1993-09-01,3353
1993-10-01,3444
1993-11-01,3379
1993-12-01,3331
1994-01-01,3653
1994-02-01,3628
1994-03-01,3385
1994-04-01,3210
1994-05-01,3462
1994-06-01,3480
1994-07-01,3544
1994-08-01,3566
1994-09-01,3641
1994-10-01,3493
1994-11-01,3654
1994-12-01,3694
1995-01-01,4075
1995-02-01,3861
1995-03-01,3582
1995-04-01,3516
1995-05-01,3939
1995-06-01,4029
1995-07-01,4189
1995-08-01,4186
1995-09-01,4278
1995-10-01,4449
1995-11-01,4443
1995-12-01,4843
1996-01-01,5645
1996-02-01,5224
1996-03-01,4496
1996-04-01,4346
1996-05-01,4957
1996-06-01,5090
1996-07-01,5509
1996-08-01,5885
1996-09-01,6594
1996-10-01,6373
1996-11-01,6031
1996-12-01,6683
1997-01-01,8369
1997-02-01,6989
1997-03-01,6193
1997-04-01,5915
1997-05-01,6153
1997-06-01,6216
1997-07-01,6767
1997-08-01,6417
1997-09-01,6957
1997-10-01,6597
1997-11-01,6955
1997-12-01,7486
1998-01-01,9580
1998-02-01,7564
1998-03-01,6214
1998-04-01,5791
1998-05-01,6344
1998-06-01,7191
1998-07-01,7076
1998-08-01,7092
1998-09-01,7611
