"Date","XRCB"
1990-11-01,1.882
1990-12-01,3.515
1991-01-01,4.292
1991-02-01,4.185
1991-03-01,3.777
1991-04-01,3.807
1991-05-01,3.991
1991-06-01,4.016
1991-07-01,4.019
1991-08-01,4.25
1991-09-01,4.112
1991-10-01,4.306
1991-11-01,4.348
1991-12-01,4.858
1992-01-01,5.048
1992-02-01,5.393
1992-03-01,5.44
1992-04-01,5.822
1992-05-01,5.953
1992-06-01,6.093
1992-07-01,6.233
1992-08-01,6.348
1992-09-01,6.551
1992-10-01,6.666
1992-11-01,6.687
1992-12-01,6.863
1993-01-01,7.117
1993-02-01,7.081
1993-03-01,7.202
1993-04-01,7.061
1993-05-01,6.984
1993-06-01,6.961
1993-07-01,7.047
1993-08-01,6.864
1993-09-01,7.046
1993-10-01,7.14
1993-11-01,7.253
1993-12-01,7.31
1994-01-01,7.734
1994-02-01,7.37
1994-03-01,7.136
1994-04-01,7.225
1994-05-01,6.809
1994-06-01,6.856
1994-07-01,6.725
1994-08-01,6.399
1994-09-01,6.002
1994-10-01,5.496
1994-11-01,5.425
1994-12-01,5.449
1995-01-01,5.511
1995-02-01,5.06
1995-03-01,4.839
1995-04-01,4.64
1995-05-01,4.884
1995-06-01,5.176
1995-07-01,5.26
1995-08-01,5.409
1995-09-01,5.513
1995-10-01,5.724
1995-11-01,5.758
1995-12-01,6.293
1996-01-01,6.645
1996-02-01,6.277
1996-03-01,6.604
1996-04-01,6.744
1996-05-01,6.737
1996-06-01,7.014
1996-07-01,6.962
1996-08-01,7.05
1996-09-01,7.155
1996-10-01,7.443
1996-11-01,7.591
1996-12-01,8.031
1997-01-01,7.852
1997-02-01,7.813
1997-03-01,7.947
1997-04-01,7.851
1997-05-01,8.17
1997-06-01,8.243
1997-07-01,8.253
1997-08-01,8.103
1997-09-01,8.061
1997-10-01,8.18
1997-11-01,8.425
1997-12-01,8.369
1998-01-01,8.421
1998-02-01,8.27
1998-03-01,8.05
1998-04-01,7.921
1998-05-01,7.734
1998-06-01,8.118
1998-07-01,8.013
1998-08-01,8.267
1998-09-01,8.391
1998-10-01,8.254
1998-11-01,8.202
1998-12-01,8.111
1999-01-01,8.253
1999-02-01,7.738
1999-03-01,7.866
1999-04-01,7.608
1999-05-01,7.76
1999-06-01,7.919
1999-07-01,7.707
1999-08-01,7.91
1999-09-01,7.958
1999-10-01,7.968
1999-11-01,8.196
1999-12-01,8.45
2000-01-01,9.239
2000-02-01,7.851
2000-03-01,7.745
2000-04-01,7.716
2000-05-01,7.433
2000-06-01,7.5
2000-07-01,7.481
2000-08-01,7.266
2000-09-01,7.417
2000-10-01,7.49
2000-11-01,7.519
2000-12-01,7.607
2001-01-01,7.427
2001-02-01,7.43
2001-03-01,7.502
2001-04-01,7.705
2001-05-01,7.596
2001-06-01,8.049
2001-07-01,8.301
2001-08-01,8.353
2001-09-01,26.423
2001-10-01,8.914
2001-11-01,9.106
2001-12-01,10.083
2002-01-01,9.912
2002-02-01,10.168
2002-03-01,10.572
2002-04-01,11.027
2002-05-01,11.076
2002-06-01,11.11
2002-07-01,11.294
2002-08-01,11.536
2002-09-01,11.425
2002-10-01,11.516
2002-11-01,11.822
2002-12-01,12.415
2003-01-01,12.192
2003-02-01,12.294
2003-03-01,12.23
2003-04-01,12.374
2003-05-01,12.466
2003-06-01,12.709
2003-07-01,12.798
2003-08-01,14.673
2003-09-01,12.699
2003-10-01,12.769
2003-11-01,13.161
2003-12-01,12.89
2004-01-01,11.583
2004-02-01,11.759
2004-03-01,12.399
2004-04-01,12.091
2004-05-01,11.828
2004-06-01,12.312
2004-07-01,12.042
2004-08-01,11.88
2004-09-01,11.866
2004-10-01,12.352
2004-11-01,11.962
2004-12-01,11.796
2005-01-01,11.14
2005-02-01,10.729
2005-03-01,10.905
2005-04-01,10.621
2005-05-01,10.208
2005-06-01,10.323
2005-07-01,10.538
2005-08-01,10.514
2005-09-01,10.575
2005-10-01,10.608
2005-11-01,10.575
2005-12-01,10.638
2006-01-01,10.578
2006-02-01,9.818
2006-03-01,9.546
2006-04-01,9.361
2006-05-01,8.996
2006-06-01,9.114
2006-07-01,8.688
2006-08-01,8.597
2006-09-01,8.653
2006-10-01,8.638
2006-11-01,8.536
2006-12-01,8.78
2007-01-01,8.418
2007-02-01,8.252
2007-03-01,8.494
2007-04-01,8.293
2007-05-01,7.963
2007-06-01,8.272
2007-07-01,8.075
2007-08-01,11.521
2007-09-01,8.343
2007-10-01,8.004
2007-11-01,8.153
2007-12-01,8.345
2008-01-01,8.311
2008-02-01,8.392
2008-03-01,9.444
2008-04-01,8.843
2008-05-01,8.91
2008-06-01,9.309
2008-07-01,9.119
2008-08-01,8.97
2008-09-01,66.813
2008-10-01,273.661
2008-11-01,564.567
2008-12-01,771.852
2009-01-01,801.235
2009-02-01,646.527
2009-03-01,727.561
2009-04-01,826.974
2009-05-01,846.444
2009-06-01,753.607
2009-07-01,736.927
2009-08-01,770.349
2009-09-01,863.706
2009-10-01,997.845
2009-11-01,1080.12
2009-12-01,1078.273
2010-01-01,1048.67
2010-02-01,1164.6
2010-03-01,1123.076
2010-04-01,1052.91
2010-05-01,1047.434
2010-06-01,1037.447
2010-07-01,1024.115
2010-08-01,1022.012
2010-09-01,983.255
2010-10-01,975.991
2010-11-01,973.934
2010-12-01,1008.994
2011-01-01,1038.832
2011-02-01,1192.334
2011-03-01,1364.558
2011-04-01,1454.487
2011-05-01,1515.032
2011-06-01,1591.264
2011-07-01,1620.643
2011-08-01,1585.828
2011-09-01,1553.485
2011-10-01,1547.647
2011-11-01,1500.274
